Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,123.54,124.83,118.47,119.03,1178700,0.0,0
2020-05-14,117.57,121.04,116.55,120.91,1385500,0.0,0
2020-05-15,119.7,126.8,118.52,125.84,1307700,0.0,0
2020-05-18,130.38,132.65,127.93,130.88,1808700,0.0,0
2020-05-19,140.09,141.55,135.01,135.58,3755600,0.0,0
2020-05-20,137.98,139.91,134.8,135.48,1216300,0.0,0
2020-05-21,135.33,135.78,129.84,134.55,1512800,0.0,0
2020-05-22,133.05,133.97,131.16,133.24,682600,0.0,0
2020-05-26,137.37,138.42,134.35,135.34,813400,0.0,0
2020-05-27,137.26,141.53,136.07,141.46,815200,0.0,0
2020-05-28,142.14,142.23,137.75,138.19,1069900,0.0,0
2020-05-29,137.45,140.56,136.26,139.07,1335500,0.0,0
2020-06-01,139.31,140.38,138.24,139.54,841000,0.0,0
2020-06-02,140.96,141.1,138.68,139.24,540300,0.0,0
2020-06-03,139.51,144.37,139.51,142.07,519300,0.0,0
2020-06-04,140.83,142.44,140.34,141.95,498400,0.0,0
2020-06-05,144.81,148.89,144.3,145.84,929300,0.0,0
2020-06-08,146.02,148.97,144.82,146.09,920500,0.0,0
2020-06-09,144.96,145.45,142.08,143.95,717100,0.0,0
2020-06-10,144.06,144.06,140.12,140.13,864900,0.0,0
2020-06-11,136.71,138.83,131.6,133.13,943000,0.25,0
2020-06-12,137.05,137.29,131.31,135.73,682700,0.0,0
