Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,312.15,315.95,303.21,307.65,50155600,0,0
2020-05-14,304.51,309.79,301.53,309.54,39732300,0,0
2020-05-15,300.35,307.9,300.21,307.71,41587100,0,0
2020-05-18,313.17,316.5,310.32,314.96,33843100,0,0
2020-05-19,315.03,318.52,313.01,313.14,25432400,0,0
2020-05-20,316.68,319.52,316.52,319.23,27876200,0,0
2020-05-21,318.66,320.89,315.87,316.85,25672200,0,0
2020-05-22,315.77,319.23,315.35,318.89,20450800,0,0
2020-05-26,323.5,324.24,316.5,316.73,31380500,0,0
2020-05-27,316.14,318.71,313.09,318.11,28236300,0,0
2020-05-28,316.77,323.44,315.63,318.25,33390200,0,0
2020-05-29,319.25,321.15,316.47,317.94,38399500,0,0
2020-06-01,317.75,322.35,317.21,321.85,20197800,0,0
2020-06-02,320.75,323.44,318.93,323.34,21910700,0,0
2020-06-03,324.66,326.2,322.3,325.12,26122800,0,0
2020-06-04,324.39,325.62,320.78,322.32,21890100,0,0
2020-06-05,323.35,331.75,323.23,331.5,34312600,0,0
2020-06-08,330.25,333.6,327.32,333.46,23913600,0,0
2020-06-09,332.14,345.61,332.01,343.99,36928100,0,0
2020-06-10,347.9,354.77,346.09,352.84,41662900,0,0
2020-06-11,349.31,351.06,335.48,335.9,50415600,0,0
2020-06-12,344.72,347.8,334.22,338.8,50001500,0,0
