Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,191.67,193.53,180.29,185.6,489400,0,0
2020-05-14,183.98,184.62,181.26,184.27,338600,0,0
2020-05-15,183.15,187.58,182.02,184.92,276000,0,0
2020-05-18,188.88,194.75,188.88,191.05,366100,0,0
2020-05-19,190.95,194.33,188.37,190.79,339800,0,0
2020-05-20,192.62,196.74,192.24,196.36,299600,0,0
2020-05-21,196.6,198.55,194.13,196.32,294700,0,0
2020-05-22,198.03,207.22,196.03,206.16,642100,0,0
2020-05-26,210.57,214.4,205.67,209.08,855400,0,0
2020-05-27,210.0,210.0,200.46,207.76,425600,0,0
2020-05-28,207.88,218.98,207.16,217.36,802800,0,0
2020-05-29,218.53,224.18,214.39,223.9,972200,0,0
2020-06-01,222.11,226.85,220.83,226.14,356800,0,0
2020-06-02,226.62,231.42,222.85,230.66,509400,0,0
2020-06-03,233.79,242.67,230.66,238.04,729400,0,0
2020-06-04,235.45,238.94,234.04,236.02,495400,0,0
2020-06-05,237.23,251.87,236.1,249.81,600300,0,0
2020-06-08,250.0,257.93,246.91,253.3,734200,0,0
2020-06-09,253.18,253.18,243.18,245.62,464400,0,0
2020-06-10,246.41,252.98,244.59,250.85,409000,0,0
2020-06-11,246.43,246.43,234.0,235.6,577500,0,0
2020-06-12,239.77,247.74,235.12,241.68,404000,0,0
