Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,93.27,94.67,90.84,92.16,11622500,0,0
2020-05-14,90.5,91.78,89.34,91.78,8189200,0,0
2020-05-15,89.96,91.16,88.79,89.89,13609400,0,0
2020-05-18,91.9,93.0,90.02,90.27,7648900,0,0
2020-05-19,90.33,90.5,88.11,88.22,7693100,0,0
2020-05-20,89.58,90.42,88.03,90.09,7488800,0,0
2020-05-21,89.64,90.61,88.38,90.39,6148300,0,0
2020-05-22,90.42,91.54,89.71,91.47,5184500,0,0
2020-05-26,92.95,93.29,89.17,89.48,6243800,0,0
2020-05-27,89.28,90.78,88.17,90.76,5420600,0,0
2020-05-28,91.95,93.33,91.21,92.1,5316300,0,0
2020-05-29,92.9,95.59,90.75,94.92,10141100,0,0
2020-06-01,92.95,93.96,92.04,93.01,5451600,0,0
2020-06-02,92.92,93.15,91.76,92.62,6394100,0,0
2020-06-03,92.56,92.7,90.56,91.4,8056300,0,0
2020-06-04,91.05,91.34,88.24,88.25,9113600,0,0
2020-06-05,88.47,89.96,87.32,89.86,11874500,0,0
2020-06-08,88.98,92.61,88.91,92.56,5426800,0,0
2020-06-09,92.32,92.82,90.24,90.27,4857400,0,0
2020-06-10,90.85,92.75,90.64,92.16,5829100,0,0
2020-06-11,92.17,92.5,86.94,87.78,8168300,0,0
2020-06-12,89.25,90.19,87.59,89.02,5590400,0,0
