Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,366.45,367.43,352.71,358.56,3365500,0,0
2020-05-14,354.0,357.0,348.01,355.39,2752000,0,0
2020-05-15,351.57,365.48,351.53,365.3,2626600,0,0
2020-05-18,371.59,375.49,367.21,367.97,2351900,0,0
2020-05-19,369.88,376.0,368.89,372.2,2753700,0,0
2020-05-20,377.21,384.4,377.06,383.63,2824700,0,0
2020-05-21,382.0,385.12,380.6,382.17,2261100,0,0
2020-05-22,381.39,386.52,380.95,385.26,1688200,0,0
2020-05-26,391.0,391.27,374.81,376.63,3526000,0,0
2020-05-27,373.24,375.7,361.44,375.17,3553300,0,0
2020-05-28,372.5,386.9,372.5,379.83,2903600,0,0
2020-05-29,382.62,389.05,377.08,386.6,5937500,0,0
2020-06-01,387.08,389.99,382.9,389.68,2034100,0,0
2020-06-02,389.92,390.91,382.03,390.44,2509600,0,0
2020-06-03,390.82,391.14,387.46,389.92,2537100,0,0
2020-06-04,389.5,395.72,382.28,385.8,2422600,0,0
2020-06-05,384.64,396.17,382.0,392.9,2793700,0,0
2020-06-08,391.0,398.1,385.84,397.78,2593000,0,0
2020-06-09,397.03,402.31,394.15,397.16,2279300,0,0
2020-06-10,399.59,409.98,399.49,406.82,3611600,0,0
2020-06-11,400.0,404.2,387.37,387.67,4123700,0,0
2020-06-12,409.3,411.72,395.41,406.54,8329200,0,0
