Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,140.9,140.9,132.03,133.8,2963900,0.0,0
2020-05-14,133.19,134.37,129.88,134.16,2164900,0.0,0
2020-05-15,132.99,134.19,131.08,134.06,4047700,0.0,0
2020-05-18,134.53,136.68,133.73,135.6,3753600,0.0,0
2020-05-19,135.42,136.82,132.27,132.32,2523000,0.0,0
2020-05-20,133.85,135.3,133.21,133.99,5466000,0.0,0
2020-05-21,133.3,134.26,131.93,132.54,2856300,0.0,0
2020-05-22,132.22,134.93,131.13,134.08,2201100,0.0,0
2020-05-26,137.2,138.75,135.9,138.11,3080400,0.0,0
2020-05-27,140.48,144.28,138.73,143.83,3439600,0.0,0
2020-05-28,144.82,145.66,142.68,143.96,2547000,0.0,0
2020-05-29,144.52,146.12,141.34,145.64,3239500,0.0,0
2020-06-01,145.16,146.12,143.72,144.7,2374100,0.0,0
2020-06-02,144.56,147.46,144.16,147.39,2880900,0.0,0
2020-06-03,148.93,151.36,148.09,150.8,2100300,0.0,0
2020-06-04,149.01,151.06,148.28,149.1,2086400,0.0,0
2020-06-05,153.4,160.11,152.67,159.2,3344600,0.0,0
2020-06-08,158.43,160.36,157.37,160.21,2270400,0.0,0
2020-06-09,159.81,159.81,156.1,156.77,1885700,0.0,0
2020-06-10,156.81,157.29,153.05,155.13,1690800,0.0,0
2020-06-11,152.96,154.21,142.81,142.99,2922100,0.91,0
2020-06-12,147.5,148.98,143.09,147.01,2725000,0.0,0
