Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,68.05,68.21,66.57,67.91,2586200,0.0,0
2020-05-14,67.29,68.43,65.9,68.28,1999000,0.0,0
2020-05-15,67.95,69.26,66.12,68.32,6531000,0.0,0
2020-05-18,70.04,72.23,69.5,71.77,2530200,0.0,0
2020-05-19,71.37,71.42,70.19,70.2,1272500,0.0,0
2020-05-20,70.74,70.83,69.62,69.88,1531700,0.0,0
2020-05-21,69.67,70.36,68.62,68.86,1510900,0.0,0
2020-05-22,68.87,69.45,68.62,69.37,1340000,0.0,0
2020-05-26,70.56,71.65,70.0,70.31,1784200,0.0,0
2020-05-27,71.47,71.47,68.86,70.06,2586500,0.0,0
2020-05-28,71.83,73.91,71.32,73.47,2379700,0.0,0
2020-05-29,73.14,74.79,72.89,74.25,1877000,0.0,0
2020-06-01,74.12,74.84,73.28,73.89,1037900,0.0,0
2020-06-02,74.34,74.5,73.27,74.43,1363700,0.0,0
2020-06-03,74.55,75.77,74.52,75.59,1344400,0.0,0
2020-06-04,75.11,75.35,72.55,73.52,1267100,0.0,0
2020-06-05,74.15,76.45,73.72,75.1,1723500,0.0,0
2020-06-08,74.68,76.92,74.03,76.73,1245700,0.0,0
2020-06-09,76.09,76.09,74.05,75.27,1436500,0.495,0
2020-06-10,75.14,76.35,74.71,74.86,1109400,0.0,0
2020-06-11,73.49,73.82,71.07,71.84,1727900,0.0,0
2020-06-12,73.34,73.53,70.84,71.75,1523000,0.0,0
