Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,77.49,77.85,76.71,77.73,3673700,0,0
2020-05-14,77.29,78.7,76.23,78.1,3766800,0,0
2020-05-15,77.5,78.46,76.66,78.43,8018100,0,0
2020-05-18,79.28,80.7,79.19,79.88,3470500,0,0
2020-05-19,79.29,79.37,77.13,77.14,2781100,0,0
2020-05-20,78.08,78.56,77.18,77.75,2160200,0,0
2020-05-21,77.59,77.82,76.89,77.37,2108400,0,0
2020-05-22,77.39,78.84,77.35,78.78,2186400,0,0
2020-05-26,79.5,80.78,79.31,79.92,2952100,0,0
2020-05-27,81.04,81.49,80.27,81.44,3547600,0,0
2020-05-28,82.62,85.62,82.62,85.1,3752100,0,0
2020-05-29,84.99,85.85,84.31,85.25,3445400,0,0
2020-06-01,85.08,86.46,84.86,86.14,1711500,0,0
2020-06-02,86.81,86.84,85.26,85.98,1672300,0,0
2020-06-03,86.31,87.96,86.12,86.99,1868100,0,0
2020-06-04,86.39,86.54,83.38,84.4,2252900,0,0
2020-06-05,84.99,87.1,84.72,85.51,2670600,0,0
2020-06-08,85.43,88.12,85.02,87.91,2179500,0,0
2020-06-09,87.31,87.35,84.82,85.91,2041700,0,0
2020-06-10,85.83,86.9,85.3,85.37,2059700,0,0
2020-06-11,84.08,84.35,81.0,81.76,3910100,0,0
2020-06-12,83.0,83.03,80.62,81.8,2389400,0,0
