Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,33.03,33.06,31.56,31.73,4405000,0.0,0
2020-05-14,31.18,32.53,30.08,32.5,5193200,0.0,0
2020-05-15,32.08,32.89,31.61,32.72,10064000,0.0,0
2020-05-18,34.46,34.85,34.14,34.47,3832400,0.0,0
2020-05-19,34.17,34.44,33.31,33.63,3141600,0.28,0
2020-05-20,34.05,35.1,33.93,34.8,4786800,0.0,0
2020-05-21,34.61,34.96,34.49,34.85,4426000,0.0,0
2020-05-22,34.94,34.94,34.38,34.7,2875000,0.0,0
2020-05-26,36.25,36.66,35.58,36.23,3783300,0.0,0
2020-05-27,37.97,37.97,36.66,37.17,4554000,0.0,0
2020-05-28,37.46,37.59,36.2,36.63,4103800,0.0,0
2020-05-29,36.09,36.74,35.65,36.47,17390300,0.0,0
2020-06-01,36.46,37.24,36.25,36.97,5017900,0.0,0
2020-06-02,37.34,37.69,37.0,37.24,2849800,0.0,0
2020-06-03,38.22,38.66,38.0,38.21,3641700,0.0,0
2020-06-04,38.0,39.34,37.59,39.33,4657100,0.0,0
2020-06-05,41.62,41.81,40.38,40.53,3948900,0.0,0
2020-06-08,41.28,42.19,41.08,42.1,4033600,0.0,0
2020-06-09,40.81,41.25,40.16,40.2,3220900,0.0,0
2020-06-10,39.9,40.03,38.83,39.09,3830800,0.0,0
2020-06-11,37.0,37.78,35.64,35.66,5382300,0.0,0
2020-06-12,37.18,37.27,35.68,36.64,3265200,0.0,0
