Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,25.83,25.92,24.51,24.71,6238300,0.0,0
2020-05-14,24.2,25.62,23.24,25.5,6954500,0.0,0
2020-05-15,25.41,26.26,24.85,26.2,8185500,0.0,0
2020-05-18,27.72,28.68,27.59,28.16,8789500,0.0,0
2020-05-19,27.89,28.32,27.15,27.35,5550300,0.0,0
2020-05-20,27.91,28.35,27.61,27.76,5175400,0.0,0
2020-05-21,27.71,28.93,27.66,28.52,5473900,0.0,0
2020-05-22,28.57,28.68,27.92,28.6,3727900,0.0,0
2020-05-26,29.97,31.42,29.97,30.7,8361400,0.0,0
2020-05-27,32.27,32.63,30.89,31.19,8387500,0.0,0
2020-05-28,31.65,31.86,30.51,30.8,5810300,0.0,0
2020-05-29,30.15,30.73,29.67,29.76,8765100,0.0,0
2020-06-01,29.81,30.66,29.46,30.24,4297800,0.0,0
2020-06-02,30.5,31.44,30.19,31.17,6668700,0.0,0
2020-06-03,32.2,33.13,31.93,32.91,6238100,0.0,0
2020-06-04,32.56,34.86,32.25,34.85,8438700,0.0,0
2020-06-05,38.3,38.58,35.81,35.99,10453100,0.0,0
2020-06-08,36.93,39.11,36.93,39.04,10596700,0.0,0
2020-06-09,37.62,37.96,36.46,37.36,7047600,0.0,0
2020-06-10,36.87,36.92,34.79,34.8,8569300,0.0,0
2020-06-11,32.17,33.53,30.98,31.29,9228600,0.0,0
2020-06-12,33.5,33.58,31.24,33.04,7489700,0.32,0
