Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,34.59,34.7,33.53,33.87,1619100,0.0,0
2020-05-14,33.2,33.6,31.66,33.55,1639000,0.41,0
2020-05-15,33.21,33.76,32.05,33.61,4282900,0.0,0
2020-05-18,35.14,36.99,34.91,36.49,1520600,0.0,0
2020-05-19,36.13,36.21,35.19,35.22,1467200,0.0,0
2020-05-20,35.79,36.1,35.32,35.87,1254600,0.0,0
2020-05-21,35.65,36.7,35.5,35.78,662500,0.0,0
2020-05-22,35.79,35.93,35.39,35.9,697300,0.0,0
2020-05-26,37.4,37.92,36.92,37.57,1145600,0.0,0
2020-05-27,38.86,38.91,36.75,37.33,1467400,0.0,0
2020-05-28,37.88,37.88,36.62,37.18,1035200,0.0,0
2020-05-29,36.62,37.47,36.29,36.87,1413400,0.0,0
2020-06-01,36.93,38.09,36.86,37.95,794800,0.0,0
2020-06-02,38.4,38.44,37.39,37.69,1157600,0.0,0
2020-06-03,38.29,40.35,37.78,40.14,1197700,0.0,0
2020-06-04,40.04,40.04,38.85,40.0,960800,0.0,0
2020-06-05,41.89,43.09,41.33,42.21,1550000,0.0,0
2020-06-08,42.85,43.85,42.46,43.82,1428700,0.0,0
2020-06-09,42.33,42.88,41.62,42.74,1121300,0.0,0
2020-06-10,42.29,42.49,41.09,41.35,952600,0.0,0
2020-06-11,39.02,39.85,38.39,39.0,1491400,0.0,0
2020-06-12,39.72,40.34,38.17,39.43,1801700,0.0,0
