Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,91.68,91.84,86.24,87.21,1018700,0.0,0
2020-05-14,85.85,88.74,83.37,88.49,669700,0.0,0
2020-05-15,87.46,90.61,86.21,90.54,1931200,0.0,0
2020-05-18,94.3,98.54,94.11,97.68,719200,0.0,0
2020-05-19,97.24,99.78,96.67,97.37,781200,0.0,0
2020-05-20,99.06,101.2,97.96,100.3,560500,0.0,0
2020-05-21,100.08,101.95,99.63,100.45,559900,0.0,0
2020-05-22,100.86,101.88,99.31,101.37,453500,0.63,0
2020-05-26,104.94,105.66,102.45,102.83,397800,0.0,0
2020-05-27,107.08,107.11,103.27,104.37,370500,0.0,0
2020-05-28,105.29,106.13,103.45,103.49,398900,0.0,0
2020-05-29,102.33,103.37,101.7,102.58,451500,0.0,0
2020-06-01,103.18,103.71,102.5,103.06,324400,0.0,0
2020-06-02,103.89,105.08,103.03,104.14,370100,0.0,0
2020-06-03,106.3,108.91,106.13,108.34,539000,0.0,0
2020-06-04,107.96,110.42,106.24,110.39,473600,0.0,0
2020-06-05,116.27,116.27,112.41,114.88,608400,0.0,0
2020-06-08,116.0,117.46,115.14,117.41,491100,0.0,0
2020-06-09,114.77,117.4,114.15,116.7,408400,0.0,0
2020-06-10,116.02,117.82,114.44,114.44,638900,0.0,0
2020-06-11,109.98,110.9,104.34,104.81,527900,0.0,0
2020-06-12,109.25,109.75,104.46,107.03,331600,0.0,0
