Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,85.75,86.41,83.39,85.44,1577900,0.0,0
2020-05-14,84.41,86.74,83.66,86.09,1406000,0.0,0
2020-05-15,85.17,87.09,84.67,86.83,2523000,0.0,0
2020-05-18,89.65,90.45,89.08,89.89,1140100,0.0,0
2020-05-19,89.38,90.74,89.38,89.81,1019300,0.0,0
2020-05-20,90.49,91.17,89.6,90.27,1008900,0.0,0
2020-05-21,89.73,90.8,89.26,90.58,938900,0.0,0
2020-05-22,90.54,90.75,89.49,90.68,900200,0.0,0
2020-05-26,92.26,93.01,91.2,91.96,1229800,0.0,0
2020-05-27,93.63,94.07,92.42,93.39,1007100,0.0,0
2020-05-28,94.56,94.56,92.86,93.57,1131200,0.0,0
2020-05-29,93.19,94.51,92.64,93.85,1389600,0.0,0
2020-06-01,93.95,94.58,93.15,94.03,946900,0.0,0
2020-06-02,94.19,95.54,93.82,95.06,962500,0.0,0
2020-06-03,95.92,97.65,95.7,97.5,792500,0.0,0
2020-06-04,96.56,98.46,95.77,98.2,766300,0.45,0
2020-06-05,100.84,101.54,99.01,100.45,1379400,0.0,0
2020-06-08,99.65,101.9,99.28,101.9,1349400,0.0,0
2020-06-09,101.0,102.05,99.51,101.15,1229000,0.0,0
2020-06-10,100.82,102.25,100.39,100.41,1168300,0.0,0
2020-06-11,98.56,98.56,94.1,94.47,2108000,0.0,0
2020-06-12,97.16,97.16,93.86,95.32,1968600,0.0,0
