Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,97.0,97.59,94.4,95.37,2321200,0,0
2020-05-14,95.2,97.26,94.21,97.23,1765000,0,0
2020-05-15,96.09,99.02,95.71,98.09,3004200,0,0
2020-05-18,98.8,99.62,97.0,98.1,1783400,0,0
2020-05-19,98.27,99.35,97.26,97.3,1247900,0,0
2020-05-20,98.79,100.88,98.46,100.58,1665700,0,0
2020-05-21,100.46,101.94,99.8,101.0,1604600,0,0
2020-05-22,100.65,101.26,99.89,100.42,1177900,0,0
2020-05-26,102.0,102.17,99.83,100.08,1523100,0,0
2020-05-27,99.35,99.99,97.25,99.97,1569400,0,0
2020-05-28,99.91,104.49,99.91,102.91,1742000,0,0
2020-05-29,103.76,106.27,102.23,105.8,6083200,0,0
2020-06-01,105.05,106.46,103.03,105.71,1695600,0,0
2020-06-02,106.15,106.45,102.59,105.53,2047500,0,0
2020-06-03,105.5,105.5,102.42,103.01,1961300,0,0
2020-06-04,102.21,103.68,101.51,101.84,1932800,0,0
2020-06-05,101.32,101.83,98.14,99.0,2962800,0,0
2020-06-08,99.48,103.59,99.17,103.38,1686300,0,0
2020-06-09,103.26,103.26,101.1,102.73,1201800,0,0
2020-06-10,103.5,104.56,102.6,103.85,1414200,0,0
2020-06-11,102.89,104.42,100.36,100.48,1574100,0,0
2020-06-12,102.04,103.19,99.64,100.34,1501600,0,0
