Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,58.75,60.02,57.5,59.64,1770000,0.0,0
2020-05-14,58.73,59.51,55.91,59.44,1333300,0.0,0
2020-05-15,59.23,61.34,59.15,61.07,1428000,0.0,0
2020-05-18,63.71,65.02,62.96,63.64,1288900,0.0,0
2020-05-19,63.53,64.99,62.71,63.22,1329900,0.0,0
2020-05-20,64.89,68.3,64.71,67.83,1641500,0.0,0
2020-05-21,67.51,69.47,67.1,67.66,1428300,0.0,0
2020-05-22,67.49,68.11,66.56,67.8,825400,0.0,0
2020-05-26,70.34,75.4,70.19,74.59,2391600,0.0,0
2020-05-27,76.04,78.77,73.7,74.7,1592500,0.0,0
2020-05-28,76.13,78.07,75.2,75.58,1408600,0.0,0
2020-05-29,75.1,76.97,74.01,76.17,1589800,0.0,0
2020-06-01,76.31,78.24,76.17,77.06,1061900,0.0,0
2020-06-02,77.96,79.08,76.68,78.23,1268300,0.0,0
2020-06-03,79.26,80.59,78.49,78.58,1685100,0.0,0
2020-06-04,77.64,79.63,77.37,79.6,1493700,0.0,0
2020-06-05,81.34,84.58,80.41,83.92,1950000,0.0,0
2020-06-08,84.23,86.51,83.86,86.34,1304100,0.0,0
2020-06-09,84.61,85.61,83.68,84.61,962300,0.0,0
2020-06-10,84.93,85.21,83.32,83.47,957900,0.0,0
2020-06-11,78.95,80.04,74.02,74.52,1656600,0.385,0
2020-06-12,78.0,78.67,75.36,77.32,1219900,0.0,0
