Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,26.56,26.66,24.8,25.52,3449100,0,0
2020-05-14,24.42,26.18,23.39,26.14,3507200,0,0
2020-05-15,25.65,26.58,25.15,25.63,2787200,0,0
2020-05-18,27.67,29.5,27.08,29.05,4334500,0,0
2020-05-19,29.61,29.96,28.04,28.66,3189400,0,0
2020-05-20,29.35,30.47,29.12,30.26,2676500,0,0
2020-05-21,30.36,32.19,30.21,31.84,3278600,0,0
2020-05-22,32.32,32.61,30.32,31.02,2888300,0,0
2020-05-26,33.58,35.44,33.32,35.03,4605500,0,0
2020-05-27,38.53,39.47,34.43,35.74,5503600,0,0
2020-05-28,35.88,36.0,34.03,34.46,3265100,0,0
2020-05-29,33.19,35.12,32.78,34.19,3563100,0,0
2020-06-01,34.38,36.58,34.05,36.11,2884600,0,0
2020-06-02,37.05,37.4,35.63,36.2,3472800,0,0
2020-06-03,37.28,40.63,37.22,39.3,4513000,0,0
2020-06-04,41.0,43.41,39.57,42.32,6768600,0,0
2020-06-05,47.84,48.66,41.81,42.72,9437000,0,0
2020-06-08,45.9,50.81,45.25,50.24,13224900,0,0
2020-06-09,48.06,48.48,44.01,46.1,7384400,0,0
2020-06-10,44.26,44.26,39.81,41.48,8580800,0,0
2020-06-11,36.11,38.13,35.18,35.59,6825300,0,0
2020-06-12,39.72,39.8,36.33,38.47,6091900,0,0
