Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,102.0,103.2,99.9,102.45,2049500,0,0
2020-05-14,101.14,101.74,98.89,100.92,1869800,0,0
2020-05-15,100.68,102.29,99.67,101.94,1172900,0,0
2020-05-18,103.58,104.83,102.58,102.72,1726400,0,0
2020-05-19,103.22,103.22,100.38,101.22,2050600,0,0
2020-05-20,102.29,105.29,101.36,103.91,1867800,0,0
2020-05-21,103.47,103.92,100.04,101.14,1459100,0,0
2020-05-22,101.21,102.15,100.35,101.5,1064000,0,0
2020-05-26,102.86,104.88,102.01,102.8,2125100,0,0
2020-05-27,103.31,106.25,100.4,106.14,1959200,0,0
2020-05-28,113.13,115.99,111.76,114.42,5621900,0,0
2020-05-29,115.38,120.19,114.02,119.9,4171500,0,0
2020-06-01,119.3,121.5,117.26,118.92,2227400,0,0
2020-06-02,117.67,118.31,114.42,116.28,2036700,0,0
2020-06-03,116.85,117.6,113.61,113.77,1396400,0,0
2020-06-04,113.19,114.3,112.76,113.68,1357300,0,0
2020-06-05,113.78,116.42,112.63,115.21,1416100,0,0
2020-06-08,114.61,120.5,114.61,119.74,2686200,0,0
2020-06-09,119.01,120.17,115.78,115.99,2274800,0,0
2020-06-10,115.99,117.3,115.35,116.33,1607400,0,0
2020-06-11,115.0,115.03,109.66,109.82,2905600,0,0
2020-06-12,111.9,112.11,107.39,109.3,2474500,0,0
