Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,52.29,52.65,50.2,51.29,8696600,0.0,0
2020-05-14,50.55,54.43,49.46,54.21,15839000,0.0,0
2020-05-15,52.95,53.26,50.97,51.83,20755900,0.0,0
2020-05-18,53.32,54.43,52.2,54.14,11300600,0.0,0
2020-05-19,54.28,56.77,53.82,55.25,10535600,0.0,0
2020-05-20,56.5,58.16,56.32,56.88,9824100,0.22,0
2020-05-21,56.84,56.92,54.85,55.02,7467200,0.0,0
2020-05-22,55.02,55.17,53.72,54.39,7121000,0.0,0
2020-05-26,56.31,56.71,54.96,55.14,7757600,0.0,0
2020-05-27,55.59,56.44,53.32,56.4,9071600,0.0,0
2020-05-28,56.12,56.68,54.35,54.67,7234100,0.0,0
2020-05-29,55.0,56.38,54.46,56.18,10820200,0.0,0
2020-06-01,55.63,56.47,55.19,55.69,5374800,0.0,0
2020-06-02,56.0,56.22,54.75,55.79,6998700,0.0,0
2020-06-03,56.69,58.25,56.41,57.81,8026700,0.0,0
2020-06-04,57.16,59.2,57.1,58.13,7456900,0.0,0
2020-06-05,59.71,61.11,59.62,60.19,8349700,0.0,0
2020-06-08,59.93,60.47,59.09,59.9,5528700,0.0,0
2020-06-09,59.02,60.26,58.93,59.79,6184300,0.0,0
2020-06-10,60.2,60.57,59.46,59.86,5319800,0.0,0
2020-06-11,58.26,58.59,55.35,55.41,9386800,0.0,0
2020-06-12,57.51,58.01,54.97,56.55,8532800,0.0,0
