Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,9.14,9.29,8.87,9.01,7714700,0.0,0
2020-05-14,8.94,9.0,8.61,8.99,5028800,0.0,0
2020-05-15,8.96,9.05,8.88,9.0,3739500,0.0,0
2020-05-18,9.35,9.61,9.34,9.53,4662700,0.0,0
2020-05-19,9.43,9.5,9.27,9.29,4584200,0.0,0
2020-05-20,9.28,9.43,9.22,9.34,5555600,0.0,0
2020-05-21,9.3,9.45,9.28,9.37,4191000,0.0,0
2020-05-22,9.38,9.49,9.33,9.49,4463000,0.0,0
2020-05-26,9.7,9.91,9.69,9.89,5228000,0.0,0
2020-05-27,9.94,9.94,9.72,9.86,5925200,0.115,0
2020-05-28,10.03,10.2,9.87,10.0,4665900,0.0,0
2020-05-29,9.93,10.23,9.82,10.21,27393600,0.0,0
2020-06-01,10.15,10.34,10.03,10.18,6712200,0.0,0
2020-06-02,10.29,10.45,10.27,10.33,8777600,0.0,0
2020-06-03,10.44,10.78,10.4,10.5,7546500,0.0,0
2020-06-04,10.45,10.63,10.4,10.53,5044700,0.0,0
2020-06-05,10.77,11.02,10.71,10.88,7674000,0.0,0
2020-06-08,10.86,10.89,10.29,10.5,11382600,0.0,0
2020-06-09,10.35,10.4,10.14,10.2,8920700,0.0,0
2020-06-10,9.98,10.02,9.72,9.82,7877500,0.0,0
2020-06-11,9.57,9.66,9.14,9.19,13253700,0.0,0
2020-06-12,10.0,10.21,9.58,9.81,17342900,0.0,0
