Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,80.41,80.57,77.37,77.82,1604700,0.0,0
2020-05-14,76.3,78.95,75.07,78.6,1916900,0.0,0
2020-05-15,77.84,79.98,77.22,79.44,2751800,0.0,0
2020-05-18,82.84,83.8,82.35,83.12,1289400,0.0,0
2020-05-19,82.63,84.65,82.48,83.85,1556400,0.0,0
2020-05-20,84.98,85.68,84.57,84.67,1027000,0.0,0
2020-05-21,84.69,85.22,84.11,84.7,1004000,0.0,0
2020-05-22,84.74,85.83,84.3,85.73,1266400,0.0,0
2020-05-26,88.84,90.16,88.06,88.24,1963400,0.0,0
2020-05-27,89.83,91.65,89.33,91.51,1133300,0.0,0
2020-05-28,92.32,93.02,91.02,91.7,1545200,0.0,0
2020-05-29,91.32,91.96,89.74,91.53,1650200,0.0,0
2020-06-01,91.13,92.69,90.32,91.84,1075400,0.0,0
2020-06-02,92.17,93.66,91.32,92.76,1091800,0.0,0
2020-06-03,94.19,95.37,93.8,94.83,1409200,0.0,0
2020-06-04,93.99,94.51,93.31,94.03,786400,0.0,0
2020-06-05,97.42,97.55,95.55,96.8,1287100,0.0,0
2020-06-08,96.91,97.81,95.42,95.76,1351900,0.0,0
2020-06-09,94.24,95.68,93.62,94.61,1054600,0.0,0
2020-06-10,94.64,94.69,92.45,92.97,924300,0.0,0
2020-06-11,90.12,90.43,87.83,88.09,1499900,0.18,0
2020-06-12,90.06,90.18,85.26,87.66,1757300,0.0,0
