Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,233.64,242.3,233.64,235.24,2292700,0.0,0
2020-05-14,234.36,237.36,232.23,236.38,3322700,0.0,0
2020-05-15,234.43,240.43,233.89,240.2,3111500,1.6,0
2020-05-18,243.66,244.39,231.8,233.19,5631400,0.0,0
2020-05-19,232.64,233.44,227.17,227.43,3835800,0.0,0
2020-05-20,229.27,230.12,225.64,227.87,3714600,0.0,0
2020-05-21,228.11,228.24,224.0,224.78,2377500,0.0,0
2020-05-22,224.17,226.77,223.61,226.43,2334300,0.0,0
2020-05-26,227.53,228.35,221.73,222.4,2397800,0.0,0
2020-05-27,222.32,225.13,217.47,224.81,2932100,0.0,0
2020-05-28,226.26,226.62,222.25,224.13,2591000,0.0,0
2020-05-29,225.0,230.57,222.06,229.7,4251200,0.0,0
2020-06-01,228.89,230.54,225.71,226.91,1816700,0.0,0
2020-06-02,225.8,226.36,222.58,223.72,3198900,0.0,0
2020-06-03,223.49,224.29,218.25,221.0,3660500,0.0,0
2020-06-04,220.77,223.45,219.21,220.88,2392800,0.0,0
2020-06-05,219.7,225.95,218.2,225.67,3714600,0.0,0
2020-06-08,223.27,226.25,221.75,225.75,2270500,0.0,0
2020-06-09,226.0,228.31,224.57,224.9,2403600,0.0,0
2020-06-10,226.68,229.49,225.52,227.12,2851300,0.0,0
2020-06-11,228.06,229.78,218.67,218.9,3900700,0.0,0
2020-06-12,221.1,222.35,214.2,217.9,2426600,0.0,0
