Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,119.56,120.82,114.07,116.37,1155100,0.0,0
2020-05-14,114.02,121.6,111.37,121.56,1356900,0.0,0
2020-05-15,121.13,125.37,119.4,121.98,2371100,1.04,0
2020-05-18,126.05,132.95,126.05,131.93,1121400,0.0,0
2020-05-19,129.07,132.33,127.71,128.54,918600,0.0,0
2020-05-20,132.35,134.0,130.42,131.63,895800,0.0,0
2020-05-21,131.47,134.38,131.2,132.12,731700,0.0,0
2020-05-22,131.99,133.12,129.41,132.46,730500,0.0,0
2020-05-26,138.63,142.83,138.04,140.04,1073500,0.0,0
2020-05-27,147.18,148.57,143.68,146.22,966300,0.0,0
2020-05-28,147.63,148.26,143.07,143.64,901800,0.0,0
2020-05-29,140.74,142.94,137.88,140.07,1674400,0.0,0
2020-06-01,141.01,144.88,140.12,143.94,701400,0.0,0
2020-06-02,145.94,147.89,144.43,146.4,855700,0.0,0
2020-06-03,151.0,154.85,150.0,151.48,800900,0.0,0
2020-06-04,149.65,154.85,149.02,153.12,955200,0.0,0
2020-06-05,163.8,164.71,154.69,155.57,1400300,0.0,0
2020-06-08,158.31,162.75,157.61,162.7,1129200,0.0,0
2020-06-09,157.28,161.66,155.78,159.59,1362200,0.0,0
2020-06-10,158.29,159.92,153.64,154.05,1118400,0.0,0
2020-06-11,144.99,149.12,138.7,139.09,1137700,0.0,0
2020-06-12,146.83,148.56,141.75,146.64,1217000,0.0,0
