Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,220.82,223.86,209.09,213.72,1041400,0,0
2020-05-14,209.84,212.55,202.6,205.59,787200,0,0
2020-05-15,203.53,210.98,202.96,210.45,822500,0,0
2020-05-18,215.27,219.19,214.0,215.62,546600,0,0
2020-05-19,215.48,221.19,214.64,219.76,491100,0,0
2020-05-20,222.48,225.58,221.94,224.7,726300,0,0
2020-05-21,223.0,226.61,222.37,223.08,556500,0,0
2020-05-22,224.94,225.8,218.35,220.17,478600,0,0
2020-05-26,224.0,227.38,222.03,222.35,419000,0,0
2020-05-27,223.28,227.44,218.77,227.31,465100,0,0
2020-05-28,227.4,229.31,222.39,222.92,612900,0,0
2020-05-29,223.69,234.44,222.5,233.46,962600,0,0
2020-06-01,232.99,236.0,230.24,234.64,540900,0,0
2020-06-02,234.7,234.7,226.0,230.45,883900,0,0
2020-06-03,230.4,232.96,228.08,231.27,616500,0,0
2020-06-04,229.08,232.93,226.39,228.66,450100,0,0
2020-06-05,234.0,237.19,232.9,235.17,550900,0,0
2020-06-08,235.06,237.0,230.45,231.79,431500,0,0
2020-06-09,231.2,234.48,229.55,231.4,428700,0,0
2020-06-10,232.26,234.96,229.62,232.77,347200,0,0
2020-06-11,228.0,228.0,217.65,218.8,880900,0,0
2020-06-12,226.01,227.4,217.81,222.78,615600,0,0
