Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,259.57,263.48,249.3,252.11,397700,0,0
2020-05-14,249.25,252.25,244.53,252.15,541100,0,0
2020-05-15,249.3,254.69,247.53,253.93,451100,0,0
2020-05-18,258.59,264.56,256.54,263.51,399400,0,0
2020-05-19,264.99,268.74,262.41,262.41,406900,0,0
2020-05-20,267.08,274.61,265.03,272.21,442100,0,0
2020-05-21,271.35,272.57,266.18,266.28,476500,0,0
2020-05-22,265.87,271.24,264.87,269.87,276500,0,0
2020-05-26,274.39,275.0,268.71,268.97,526600,0,0
2020-05-27,267.65,269.34,259.04,269.31,468100,0,0
2020-05-28,268.89,281.04,268.71,275.1,615500,0,0
2020-05-29,274.66,283.63,273.93,283.0,776100,0,0
2020-06-01,281.85,289.23,280.44,286.7,536700,0,0
2020-06-02,286.56,288.14,281.02,288.14,454900,0,0
2020-06-03,289.2,290.99,282.77,286.9,408300,0,0
2020-06-04,284.63,286.96,279.0,282.16,349000,0,0
2020-06-05,282.93,289.55,280.89,289.1,450300,0,0
2020-06-08,286.37,292.32,283.44,290.75,412000,0,0
2020-06-09,290.75,293.06,284.59,285.27,499700,0,0
2020-06-10,288.98,291.0,285.94,286.0,670600,0,0
2020-06-11,282.21,286.36,271.36,271.94,495700,0,0
2020-06-12,277.74,280.96,266.78,270.27,594300,0,0
