Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,195.0,195.0,189.33,190.23,3089500,0,0
2020-05-14,187.53,194.27,186.23,193.93,1170600,0,0
2020-05-15,192.22,193.43,190.44,191.67,2127500,0,0
2020-05-18,195.74,200.31,195.33,196.84,1509500,0,0
2020-05-19,195.49,197.97,195.36,195.54,1031400,0,0
2020-05-20,197.37,199.35,194.91,195.27,1029600,0,0
2020-05-21,194.65,195.55,192.1,193.33,1183100,0,0
2020-05-22,193.31,193.41,190.69,191.97,940800,0,0
2020-05-26,195.43,197.36,194.75,195.06,1262700,0,0
2020-05-27,198.38,200.15,195.97,197.84,1565600,0,0
2020-05-28,199.39,201.53,196.0,198.69,1073600,0,0
2020-05-29,198.04,199.06,195.2,196.95,3211400,0,0
2020-06-01,196.28,197.58,194.67,196.14,1182900,0,0
2020-06-02,196.65,197.55,194.05,194.83,1181300,0,0
2020-06-03,196.17,201.47,195.33,198.97,1225600,0,0
2020-06-04,197.86,198.53,195.9,197.99,623600,0,0
2020-06-05,204.4,204.4,199.46,200.2,1592000,0,0
2020-06-08,200.04,200.44,196.64,198.01,1525000,0,0
2020-06-09,196.71,197.45,193.69,194.29,1328200,0,0
2020-06-10,193.37,194.99,191.2,193.18,1667800,0,0
2020-06-11,190.28,190.28,179.9,180.65,1768000,0,0
2020-06-12,184.91,185.38,177.85,181.95,1378400,0,0
