Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,41.86,41.94,39.73,39.98,1763500,0,0
2020-05-14,39.54,40.35,38.51,40.28,1651400,0,0
2020-05-15,40.0,41.58,40.0,40.41,4775300,0,0
2020-05-18,41.75,43.79,41.73,43.5,1576700,0,0
2020-05-19,43.34,43.38,41.96,41.98,1653600,0,0
2020-05-20,42.51,42.75,42.1,42.46,1269400,0,0
2020-05-21,42.27,42.94,42.25,42.68,835300,0,0
2020-05-22,42.81,42.81,41.9,42.22,1103500,0,0
2020-05-26,43.24,45.21,43.13,44.83,1639200,0,0
2020-05-27,45.43,47.31,45.37,47.21,2183300,0,0
2020-05-28,47.44,47.74,46.37,46.59,2323200,0,0
2020-05-29,46.49,47.57,46.01,47.5,2662000,0,0
2020-06-01,47.51,47.64,46.96,47.32,1067100,0,0
2020-06-02,47.47,47.88,47.2,47.88,1017800,0,0
2020-06-03,48.26,49.99,48.17,49.85,1224800,0,0
2020-06-04,49.27,50.6,49.26,50.57,1705100,0,0
2020-06-05,51.58,52.4,51.46,52.0,2078500,0,0
2020-06-08,51.87,52.7,50.74,50.88,1618600,0,0
2020-06-09,50.11,50.52,49.12,49.27,1709600,0,0
2020-06-10,49.23,49.3,48.36,48.39,1302600,0,0
2020-06-11,47.45,47.69,46.66,46.82,1167200,0,0
2020-06-12,48.03,48.16,45.88,46.95,1163500,0,0
