Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,11.68,11.68,10.5,10.73,17266900,0,0
2020-05-14,10.33,11.04,9.67,10.36,20150300,0,0
2020-05-15,10.22,10.92,10.11,10.61,18137500,0,0
2020-05-18,11.6,12.23,11.47,11.92,22513700,0,0
2020-05-19,11.89,12.08,11.32,11.36,14586400,0,0
2020-05-20,11.67,12.1,11.64,11.95,15601100,0,0
2020-05-21,12.01,12.35,11.77,12.05,18807400,0,0
2020-05-22,12.0,12.2,11.65,12.17,10415800,0,0
2020-05-26,12.7,12.93,12.32,12.71,15215100,0,0
2020-05-27,12.97,13.01,11.93,12.58,16487000,0,0
2020-05-28,12.63,12.67,11.75,11.87,14603500,0,0
2020-05-29,11.69,11.69,10.71,10.79,47936800,0,0
2020-06-01,10.76,11.79,10.45,11.73,24871300,0,0
2020-06-02,11.93,12.25,11.77,12.23,14175600,0,0
2020-06-03,12.49,12.73,12.02,12.53,16115900,0,0
2020-06-04,12.43,13.1,12.26,13.0,16043500,0,0
2020-06-05,14.34,16.6,14.33,16.07,36336800,0,0
2020-06-08,17.65,17.87,16.57,17.73,29519900,0,0
2020-06-09,16.45,16.9,15.6,16.53,14750800,0,0
2020-06-10,15.93,15.93,14.51,14.83,15456800,0,0
2020-06-11,12.73,14.36,12.31,12.79,17749400,0,0
2020-06-12,14.01,14.5,13.04,13.77,15493700,0,0
