Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,84.32,84.4,80.53,81.82,1481300,0,0
2020-05-14,80.46,83.31,80.16,83.28,1651300,0,0
2020-05-15,82.51,83.34,81.35,82.31,1625200,0,0
2020-05-18,84.84,88.96,84.78,88.44,1544900,0,0
2020-05-19,88.09,90.43,87.95,89.12,1112700,0,0
2020-05-20,90.58,92.05,90.37,90.96,1018800,0,0
2020-05-21,90.68,91.24,89.77,90.21,1469700,0,0
2020-05-22,90.13,90.9,89.2,90.8,1592100,0,0
2020-05-26,93.15,94.48,92.95,93.99,2055200,0,0
2020-05-27,95.0,96.03,94.3,95.53,1660400,0,0
2020-05-28,96.35,96.57,94.84,95.35,1438600,0,0
2020-05-29,95.05,96.78,94.1,96.56,2061600,0,0
2020-06-01,96.23,98.33,95.93,97.73,1376800,0,0
2020-06-02,98.19,99.22,97.05,98.94,1904300,0,0
2020-06-03,100.0,103.34,99.51,103.19,1984300,0,0
2020-06-04,102.0,103.38,100.96,101.57,2125000,0,0
2020-06-05,104.16,108.36,104.16,107.0,3597300,0,0
2020-06-08,106.76,107.19,103.94,104.08,2659900,0,0
2020-06-09,102.55,103.11,101.4,101.72,1519900,0,0
2020-06-10,102.5,102.5,99.67,100.34,1107500,0,0
2020-06-11,97.76,98.23,94.49,94.51,1715800,0,0
2020-06-12,97.47,97.75,93.25,95.01,1463100,0,0
