Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,64.5,64.5,60.13,60.79,1775900,0,0
2020-05-14,58.85,63.19,57.26,63.15,1676100,0,0
2020-05-15,62.28,64.4,61.5,64.07,1225400,0,0
2020-05-18,67.41,70.8,67.41,70.18,1642700,0,0
2020-05-19,71.0,74.22,69.94,70.0,2335600,0,0
2020-05-20,71.79,73.33,71.26,71.71,2137500,0,0
2020-05-21,72.47,74.4,71.35,71.53,2130600,0,0
2020-05-22,71.34,72.13,70.11,71.89,1481600,0,0
2020-05-26,75.62,76.37,74.45,75.68,2014600,0,0
2020-05-27,78.9,81.96,75.57,77.63,2683000,0,0
2020-05-28,77.71,78.2,73.55,73.63,2682400,0,0
2020-05-29,74.19,75.62,73.21,75.35,2572800,0,0
2020-06-01,75.93,77.05,74.52,76.64,1431300,0,0
2020-06-02,77.84,79.66,77.05,79.66,1857600,0,0
2020-06-03,81.15,84.55,81.15,83.33,4762600,0,0
2020-06-04,81.54,84.22,81.21,83.69,2349400,0,0
2020-06-05,88.44,89.0,85.05,85.85,2504400,0,0
2020-06-08,87.63,89.74,87.02,87.5,3612900,0,0
2020-06-09,81.45,82.04,75.47,75.91,7436400,0,0
2020-06-10,78.92,82.61,77.5,82.43,19582100,0,0
2020-06-11,76.46,79.29,72.92,72.95,7243700,0,0
2020-06-12,76.93,77.78,73.61,75.66,4409100,0,0
