Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,147.24,148.63,142.24,143.46,1252900,0,0
2020-05-14,140.95,143.17,136.52,140.53,1041500,0,0
2020-05-15,139.02,141.75,137.0,141.43,1804700,0,0
2020-05-18,146.38,149.8,144.77,145.36,986300,0,0
2020-05-19,144.57,147.01,144.57,145.31,720500,0,0
2020-05-20,146.91,148.33,144.5,146.22,860300,0,0
2020-05-21,145.01,147.8,144.86,145.43,484800,0,0
2020-05-22,145.11,147.54,145.05,146.99,549300,0,0
2020-05-26,149.33,151.79,149.28,150.52,683700,0,0
2020-05-27,152.17,153.33,147.27,151.45,770900,0,0
2020-05-28,153.27,155.38,151.61,155.14,1038100,0,0
2020-05-29,153.61,154.76,152.36,153.72,1875500,0,0
2020-06-01,153.5,155.24,152.57,154.1,616200,0,0
2020-06-02,155.27,155.27,152.89,154.96,687300,0,0
2020-06-03,155.17,156.75,154.28,154.72,1204100,0,0
2020-06-04,152.92,153.6,149.62,151.13,751700,0,0
2020-06-05,155.75,159.67,154.63,158.59,1127000,0,0
2020-06-08,161.74,162.44,158.56,160.08,910300,0,0
2020-06-09,157.82,161.26,156.07,160.09,750000,0,0
2020-06-10,159.71,160.02,156.64,157.92,813400,0,0
2020-06-11,152.99,155.59,151.59,152.39,874500,0,0
2020-06-12,156.66,159.76,153.96,159.27,1166400,0,0
