Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,72.51,75.01,71.97,73.67,8807700,0,0
2020-05-14,73.12,73.9,71.61,72.96,6749100,0,0
2020-05-15,72.62,74.0,72.29,73.92,5854200,0,0
2020-05-18,73.86,74.68,72.45,72.88,8495200,0,0
2020-05-19,72.9,74.44,72.72,73.03,5509700,0,0
2020-05-20,73.54,74.54,73.24,73.78,6231100,0,0
2020-05-21,74.36,74.49,72.44,72.47,9522900,0,0
2020-05-22,73.01,73.16,72.2,73.08,5161400,0,0
2020-05-26,73.37,73.49,69.61,70.0,11628600,0,0
2020-05-27,69.29,70.34,66.59,70.15,13218600,0,0
2020-05-28,70.0,71.73,69.4,70.22,7899000,0,0
2020-05-29,70.66,72.21,69.82,71.98,11437100,0,0
2020-06-01,72.19,73.58,71.72,72.99,4930700,0,0
2020-06-02,72.78,73.04,71.09,72.98,6518500,0,0
2020-06-03,72.39,72.63,69.67,69.92,10519800,0,0
2020-06-04,69.5,71.1,69.1,69.81,7630000,0,0
2020-06-05,67.99,69.59,67.4,69.43,8620300,0,0
2020-06-08,68.49,70.77,68.33,70.73,6941400,0,0
2020-06-09,71.28,72.16,70.23,72.0,6245200,0,0
2020-06-10,72.38,74.24,72.31,73.82,9106800,0,0
2020-06-11,72.87,74.35,71.02,71.28,7808000,0,0
2020-06-12,71.5,73.21,70.25,71.68,5920500,0,0
