Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,150.56,152.31,149.28,151.06,1790300,0,0
2020-05-14,148.52,151.86,145.15,151.86,1666500,0,0
2020-05-15,150.22,154.6,145.87,150.35,1980900,0,0
2020-05-18,156.78,160.49,154.01,158.48,1040300,0,0
2020-05-19,157.24,159.09,154.4,154.65,1174500,0,0
2020-05-20,156.48,156.48,152.08,155.83,1448000,0,0
2020-05-21,155.16,158.0,153.73,154.18,820300,0,0
2020-05-22,154.21,154.71,152.97,153.67,1015700,0,0
2020-05-26,158.83,162.56,157.44,160.41,983600,0,0
2020-05-27,165.0,165.0,157.4,158.9,1015300,0,0
2020-05-28,160.94,160.94,156.66,159.03,1226500,0,0
2020-05-29,157.21,158.86,154.22,156.01,3918100,0,0
2020-06-01,155.99,161.8,155.24,160.42,1047500,0,0
2020-06-02,161.75,161.94,157.0,158.77,1483800,0,0
2020-06-03,160.57,163.0,160.01,162.0,1294400,0,0
2020-06-04,161.13,161.85,157.76,158.87,1431600,0,0
2020-06-05,165.0,174.01,164.99,172.69,2109900,0,0
2020-06-08,175.48,178.12,172.59,178.07,1378800,0,0
2020-06-09,175.0,175.53,172.4,174.22,917200,0,0
2020-06-10,172.99,175.01,169.85,171.35,802900,0,0
2020-06-11,163.74,167.03,161.72,161.87,1187400,0,0
2020-06-12,166.44,166.44,159.68,163.75,1562800,0,0
