Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,116.99,116.99,115.09,116.51,1194700,0,0
2020-05-14,115.89,116.85,112.5,116.27,1039100,0,0
2020-05-15,115.65,118.78,114.56,117.76,3087000,0,0
2020-05-18,120.59,123.26,119.68,122.51,931100,0,0
2020-05-19,122.11,123.09,120.11,120.17,756000,0,0
2020-05-20,121.28,122.07,120.19,120.6,683400,0,0
2020-05-21,121.0,121.94,120.06,120.62,685400,0,0
2020-05-22,120.16,121.03,119.3,120.71,445800,0,0
2020-05-26,122.65,123.8,120.18,120.74,873800,0,0
2020-05-27,122.04,122.27,118.05,120.54,876500,0,0
2020-05-28,122.25,124.59,122.07,123.72,947600,0,0
2020-05-29,123.71,127.4,122.55,127.0,1516800,0,0
2020-06-01,126.91,128.95,125.7,127.77,794200,0,0
2020-06-02,127.7,130.09,127.09,130.09,821900,0,0
2020-06-03,130.28,132.56,129.53,132.35,1117200,0,0
2020-06-04,131.36,132.6,128.73,130.7,1113300,0,0
2020-06-05,131.3,134.26,130.72,131.56,827400,0,0
2020-06-08,130.53,132.88,129.75,132.5,753300,0,0
2020-06-09,131.62,131.62,129.18,130.7,857100,0,0
2020-06-10,131.0,132.69,130.17,131.06,614700,0,0
2020-06-11,129.61,130.86,126.75,127.5,1024900,0,0
2020-06-12,129.65,129.78,125.81,127.29,901400,0,0
