Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,82.0,82.13,77.4,78.03,10681600,0,0
2020-05-14,76.92,83.9,76.0,83.81,10625100,0,0
2020-05-15,82.47,83.39,81.22,82.22,6618600,0,0
2020-05-18,86.72,89.0,85.92,88.41,7787400,0,0
2020-05-19,88.42,89.84,86.61,87.26,4920600,0,0
2020-05-20,89.18,91.34,88.77,90.73,5218500,0,0
2020-05-21,90.11,91.43,89.12,89.83,6241900,0,0
2020-05-22,89.71,89.95,88.21,89.33,3734500,0,0
2020-05-26,93.94,95.57,92.89,94.32,6559400,0,0
2020-05-27,100.0,101.69,96.8,101.23,11007700,0,0
2020-05-28,101.54,102.46,98.01,98.06,9268200,0,0
2020-05-29,95.5,97.11,94.66,95.07,7711900,0,0
2020-06-01,95.56,98.07,94.56,96.75,4269500,0,0
2020-06-02,98.6,100.49,98.17,99.07,5433800,0,0
2020-06-03,102.78,105.87,101.63,105.4,7301000,0,0
2020-06-04,103.47,107.43,103.23,106.54,5841600,0,0
2020-06-05,114.11,115.93,108.07,109.73,10097600,0,0
2020-06-08,111.91,113.71,110.64,113.67,6795200,0,0
2020-06-09,110.08,111.8,108.67,110.46,5517400,0,0
2020-06-10,110.0,110.33,105.96,106.16,5747400,0,0
2020-06-11,100.87,102.99,98.13,98.6,8601200,0,0
2020-06-12,103.21,103.5,98.08,101.68,7249500,0,0
