Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,125.0,125.07,119.33,121.5,26002000,0,0
2020-05-14,118.98,122.61,113.89,122.52,37499200,0,0
2020-05-15,118.33,121.89,117.78,120.0,26756800,0,0
2020-05-18,126.18,136.2,125.8,135.44,43891500,0,0
2020-05-19,137.0,137.04,130.28,130.44,32373000,0,0
2020-05-20,133.27,135.45,131.31,133.32,21835500,0,0
2020-05-21,137.0,144.24,136.15,139.0,48263900,0,0
2020-05-22,141.01,141.08,135.78,137.53,21098800,0,0
2020-05-26,145.21,145.91,142.61,144.73,30338300,0,0
2020-05-27,149.14,149.65,141.24,149.52,32799900,0,0
2020-05-28,156.1,156.7,149.05,149.82,34734300,0,0
2020-05-29,145.3,152.0,142.94,145.85,33905100,0,0
2020-06-01,145.45,153.55,144.55,151.39,27127300,0,0
2020-06-02,154.0,155.85,151.81,153.31,24780500,0,0
2020-06-03,157.1,173.78,155.49,173.16,66486400,0,0
2020-06-04,181.28,188.6,177.4,184.3,67155600,0,0
2020-06-05,205.0,218.79,197.36,205.43,99846000,0,0
2020-06-08,222.94,234.2,218.93,230.5,80902800,0,0
2020-06-09,222.14,227.0,213.08,216.74,66688700,0,0
2020-06-10,211.17,213.03,197.4,203.41,90384900,0,0
2020-06-11,179.35,192.18,166.01,170.0,103212800,0,0
2020-06-12,187.15,191.3,176.26,189.51,89398100,0,0
