Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,21.51,21.6,20.58,20.73,112113400,0.0,0
2020-05-14,20.15,21.64,19.96,21.56,88359100,0.0,0
2020-05-15,21.25,21.55,21.08,21.29,64484000,0.0,0
2020-05-18,22.26,22.9,21.92,22.77,86699200,0.0,0
2020-05-19,22.5,22.84,22.04,22.06,62179000,0.0,0
2020-05-20,22.52,22.84,22.48,22.75,59789500,0.0,0
2020-05-21,22.65,23.11,22.62,22.74,57726000,0.0,0
2020-05-22,22.77,22.79,22.3,22.5,48107000,0.0,0
2020-05-26,23.59,24.43,23.54,24.11,119485500,0.0,0
2020-05-27,25.89,25.99,24.8,25.8,117672700,0.0,0
2020-05-28,25.9,25.96,24.62,24.69,84340800,0.0,0
2020-05-29,24.25,24.74,23.89,23.95,113923800,0.0,0
2020-06-01,24.11,24.7,23.88,24.44,58375500,0.0,0
2020-06-02,24.79,25.21,24.39,24.67,71118100,0.0,0
2020-06-03,25.32,25.96,25.21,25.81,86744600,0.0,0
2020-06-04,25.71,26.83,25.57,26.78,94545300,0.18,0
2020-06-05,28.95,29.01,27.88,28.11,118767900,0.0,0
2020-06-08,28.59,28.9,28.14,28.54,79598500,0.0,0
2020-06-09,27.72,28.54,27.55,28.22,77773400,0.0,0
2020-06-10,27.97,28.1,26.51,26.6,90415300,0.0,0
2020-06-11,24.98,25.69,23.68,23.93,149875500,0.0,0
2020-06-12,25.03,25.05,24.04,24.78,73678900,0.0,0
