Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,17.81,17.9,17.09,17.33,5766900,0,0
2020-05-14,16.98,18.08,16.41,18.03,5156900,0,0
2020-05-15,17.59,17.82,17.36,17.76,9869800,0,0
2020-05-18,18.63,18.95,18.26,18.34,5871900,0,0
2020-05-19,18.25,18.41,17.85,17.93,3688600,0,0
2020-05-20,18.23,18.55,18.11,18.2,2882900,0,0
2020-05-21,18.13,18.38,17.93,17.96,2140300,0,0
2020-05-22,18.03,18.16,17.5,17.89,2771000,0,0
2020-05-26,18.54,19.24,18.52,18.96,3653500,0,0
2020-05-27,19.84,19.84,19.17,19.35,3722600,0,0
2020-05-28,19.51,19.52,18.83,18.91,3708100,0,0
2020-05-29,18.64,19.09,18.47,18.87,7218700,0,0
2020-06-01,18.96,19.72,18.85,19.49,3388500,0,0
2020-06-02,19.59,20.11,19.59,19.8,3229400,0,0
2020-06-03,20.18,21.27,20.14,21.09,4560800,0,0
2020-06-04,20.94,21.61,20.51,21.59,3309700,0,0
2020-06-05,22.99,23.68,22.55,22.7,4136700,0,0
2020-06-08,23.09,24.33,23.09,24.23,6483600,0,0
2020-06-09,23.49,23.78,22.88,23.65,3708700,0,0
2020-06-10,23.69,23.69,22.36,22.54,3605800,0,0
2020-06-11,21.08,21.79,20.76,20.85,3446800,0,0
2020-06-12,21.75,21.93,21.1,21.79,3698000,0,0
