Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,320.9,327.2,312.66,314.96,1795900,0,0
2020-05-14,311.15,317.78,311.15,315.82,1167100,0,0
2020-05-15,313.49,317.21,311.0,316.6,820900,0,0
2020-05-18,324.0,324.0,315.29,315.9,1022400,0,0
2020-05-19,314.67,316.85,308.66,310.08,862100,0,0
2020-05-20,311.58,314.58,308.19,309.53,904100,0,0
2020-05-21,309.76,311.26,302.53,304.46,1099700,0,0
2020-05-22,304.11,305.03,300.8,304.53,690100,0,0
2020-05-26,309.07,309.07,294.89,295.87,1663500,0,0
2020-05-27,297.0,301.5,291.83,301.46,1374700,0,0
2020-05-28,302.29,304.8,297.86,300.5,1431000,0,0
2020-05-29,300.98,307.82,297.91,307.09,1917300,0,0
2020-06-01,305.72,306.95,300.7,301.45,863000,0,0
2020-06-02,300.28,303.92,300.28,302.86,945800,0,0
2020-06-03,303.04,304.68,299.71,302.6,945500,0,0
2020-06-04,302.99,303.96,297.55,299.65,1019000,0,0
2020-06-05,300.61,308.27,298.12,306.72,1297400,0,0
2020-06-08,304.48,306.06,299.13,301.26,1491000,0,0
2020-06-09,297.0,297.34,291.0,293.74,2045800,0,0
2020-06-10,296.08,296.81,291.9,295.25,1430800,0,0
2020-06-11,293.66,294.39,281.2,283.22,1669500,0,0
2020-06-12,286.06,286.96,273.59,279.27,2041100,0,0
