Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,1379.34,1388.92,1336.32,1366.07,780900,0,0
2020-05-14,1348.74,1388.94,1303.25,1382.51,708700,0,0
2020-05-15,1377.01,1409.49,1372.13,1384.31,632600,0,0
2020-05-18,1430.0,1581.56,1430.0,1557.43,1322000,0,0
2020-05-19,1556.29,1598.83,1544.16,1547.56,828400,0,0
2020-05-20,1578.52,1605.74,1578.2,1599.15,700000,0,0
2020-05-21,1605.0,1623.44,1575.79,1595.68,631900,0,0
2020-05-22,1591.74,1637.29,1584.65,1631.3,574600,0,0
2020-05-26,1704.32,1764.9,1692.11,1746.91,1201000,0,0
2020-05-27,1775.93,1788.0,1692.61,1698.73,1017900,0,0
2020-05-28,1695.59,1708.0,1644.02,1648.99,664100,0,0
2020-05-29,1657.0,1657.0,1618.43,1639.42,696800,0,0
2020-06-01,1633.12,1684.17,1633.12,1670.73,490100,0,0
2020-06-02,1690.0,1692.05,1653.58,1655.0,513600,0,0
2020-06-03,1704.03,1743.84,1694.29,1725.97,597500,0,0
2020-06-04,1714.9,1749.18,1706.0,1742.64,502400,0,0
2020-06-05,1826.76,1853.38,1802.85,1812.64,1034400,0,0
2020-06-08,1846.6,1871.97,1825.57,1840.91,672000,0,0
2020-06-09,1808.07,1818.34,1770.0,1777.97,450400,0,0
2020-06-10,1791.95,1793.0,1717.72,1733.31,536400,0,0
2020-06-11,1655.85,1656.76,1576.57,1588.37,920100,0,0
2020-06-12,1653.57,1663.99,1572.84,1623.92,489400,0,0
