Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,14.17,14.39,13.39,13.45,5050300,0.0,0
2020-05-14,13.15,14.16,12.95,13.84,4876600,0.0,0
2020-05-15,13.76,14.32,13.55,13.6,5540400,0.0,0
2020-05-18,14.39,15.31,14.17,15.16,4993000,0.0,0
2020-05-19,14.85,14.99,14.32,14.34,4844100,0.0,0
2020-05-20,14.81,15.54,14.57,15.43,4473400,0.0,0
2020-05-21,15.55,15.55,14.87,15.24,3607100,0.0,0
2020-05-22,15.1,15.2,14.76,15.12,3346200,0.18,0
2020-05-26,15.65,16.17,15.6,16.01,4190400,0.0,0
2020-05-27,16.29,16.56,15.9,16.56,4719200,0.0,0
2020-05-28,16.63,16.66,16.24,16.39,5899300,0.0,0
2020-05-29,16.21,16.73,16.03,16.51,11857800,0.0,0
2020-06-01,16.5,16.74,16.23,16.33,4898700,0.0,0
2020-06-02,16.38,17.3,16.38,17.11,5434300,0.0,0
2020-06-03,17.62,17.68,17.32,17.33,4609800,0.0,0
2020-06-04,17.18,17.49,16.88,17.15,6776100,0.0,0
2020-06-05,18.2,18.27,17.54,17.75,9735700,0.0,0
2020-06-08,18.9,19.3,18.53,19.06,9745200,0.0,0
2020-06-09,18.34,18.72,18.01,18.67,7092600,0.0,0
2020-06-10,18.19,18.39,17.26,17.26,6661400,0.0,0
2020-06-11,15.95,16.52,15.51,15.63,7459200,0.0,0
2020-06-12,16.42,16.71,15.48,15.94,5858500,0.0,0
