Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,117.42,118.03,112.12,113.6,886000,0.0,0
2020-05-14,112.82,114.42,110.25,114.36,801400,0.0,0
2020-05-15,112.48,115.77,112.48,115.04,1776600,0.0,0
2020-05-18,118.05,119.86,117.57,118.91,602800,0.0,0
2020-05-19,118.48,120.83,118.48,119.04,571400,0.0,0
2020-05-20,120.19,122.2,119.97,120.42,452300,0.0,0
2020-05-21,120.08,120.08,117.16,117.27,514600,0.0,0
2020-05-22,117.29,117.46,115.7,116.29,553900,0.0,0
2020-05-26,118.87,119.34,116.24,116.6,680100,0.0,0
2020-05-27,117.55,118.32,115.51,116.18,1119400,0.0,0
2020-05-28,116.67,120.0,116.61,118.73,546200,0.0,0
2020-05-29,118.91,120.99,117.56,120.56,773800,0.0,0
2020-06-01,120.58,122.27,119.58,121.69,428300,0.0,0
2020-06-02,122.73,122.76,121.24,122.73,594500,0.0,0
2020-06-03,123.07,124.16,122.88,123.75,361800,0.0,0
2020-06-04,123.05,123.89,122.4,123.45,515800,0.0,0
2020-06-05,124.59,127.29,124.3,126.11,596000,0.0,0
2020-06-08,125.21,126.96,124.55,126.92,514000,0.0,0
2020-06-09,126.56,126.88,122.73,122.96,647900,0.0,0
2020-06-10,123.46,123.51,120.47,121.24,830600,0.0,0
2020-06-11,119.14,119.55,117.2,118.93,1574100,0.54,0
2020-06-12,120.83,122.38,118.36,121.63,1488600,0.0,0
