Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,36.85,36.94,35.48,35.77,8053500,0,0
2020-05-14,35.32,35.83,34.53,35.5,6564800,0,0
2020-05-15,35.28,35.32,34.22,34.83,10291500,0,0
2020-05-18,35.76,36.87,35.76,36.42,13687100,0,0
2020-05-19,36.39,36.57,35.4,35.43,11366700,0,0
2020-05-20,35.92,37.49,35.77,37.18,10708500,0,0
2020-05-21,35.52,36.13,34.45,34.79,24248300,0,0
2020-05-22,35.57,36.32,35.27,35.91,28426100,0,0
2020-05-26,37.03,37.03,35.86,36.19,12272300,0,0
2020-05-27,36.36,37.18,36.01,37.14,9472800,0,0
2020-05-28,37.45,37.99,37.11,37.47,8924300,0,0
2020-05-29,37.68,38.04,36.7,37.99,10062600,0,0
2020-06-01,37.71,38.18,37.42,37.5,6174600,0,0
2020-06-02,37.62,37.93,37.46,37.54,10371200,0,0
2020-06-03,37.75,38.03,37.24,37.91,12471900,0,0
2020-06-04,37.84,37.84,37.23,37.42,6797000,0,0
2020-06-05,38.15,39.33,38.0,38.83,12623000,0,0
2020-06-08,38.68,39.3,38.67,39.11,8499800,0,0
2020-06-09,38.86,38.86,38.13,38.26,11969600,0,0
2020-06-10,38.36,38.36,36.99,37.49,10655100,0,0
2020-06-11,36.44,36.7,34.69,35.05,16345600,0,0
2020-06-12,35.95,36.4,34.66,35.35,13770400,0,0
