Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,27.92,28.02,25.81,26.2,3866000,0.0,0
2020-05-14,25.35,27.68,25.04,27.66,6106700,0.0,0
2020-05-15,27.28,27.78,27.08,27.62,3626200,0.0,0
2020-05-18,28.95,29.68,28.65,29.38,2355000,0.0,0
2020-05-19,29.31,29.73,28.73,28.74,3253800,0.0,0
2020-05-20,29.41,29.85,29.16,29.59,3517100,0.0,0
2020-05-21,29.55,30.02,29.13,29.74,2794000,0.0,0
2020-05-22,30.01,30.06,29.0,29.68,3759500,0.0,0
2020-05-26,31.07,31.66,30.91,31.35,4117100,0.0,0
2020-05-27,32.18,32.53,31.42,32.37,5024000,0.0,0
2020-05-28,32.64,32.74,31.54,31.93,4094700,0.0,0
2020-05-29,31.58,32.24,31.04,32.15,4547300,0.17,0
2020-06-01,32.42,33.87,32.13,33.26,2985900,0.0,0
2020-06-02,33.75,34.01,32.98,33.94,3813300,0.0,0
2020-06-03,34.63,35.33,34.22,34.33,4236000,0.0,0
2020-06-04,33.98,34.97,33.66,34.97,3548700,0.0,0
2020-06-05,37.1,37.74,36.38,37.29,5171700,0.0,0
2020-06-08,37.81,38.1,37.28,37.52,2944600,0.0,0
2020-06-09,36.48,37.21,36.04,36.65,3044100,0.0,0
2020-06-10,36.59,36.6,35.38,35.57,3069200,0.0,0
2020-06-11,33.64,34.28,32.4,32.66,3323200,0.0,0
2020-06-12,34.44,34.5,32.68,33.55,3084000,0.0,0
