Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,42.0,42.2,40.23,40.6,35350600,0,0
2020-05-14,39.99,42.1,38.76,42.06,40976400,0,0
2020-05-15,41.58,42.45,41.1,41.92,28494900,0,0
2020-05-18,44.05,45.91,43.49,45.67,39406100,0,0
2020-05-19,45.27,45.79,44.21,44.43,27271600,0,0
2020-05-20,45.57,46.28,45.22,45.47,23841300,0,0
2020-05-21,45.17,45.79,44.78,45.0,21698300,0,0
2020-05-22,44.77,45.05,43.69,44.1,22631700,0,0
2020-05-26,46.2,48.9,45.98,48.17,34429300,0,0
2020-05-27,51.68,52.39,49.86,52.26,43660500,0,0
2020-05-28,52.99,53.01,49.11,49.16,37972800,0,0
2020-05-29,48.02,49.48,47.56,47.91,35900500,0,0
2020-06-01,48.14,49.68,47.82,49.45,22860100,0,0
2020-06-02,50.71,51.29,50.16,50.84,27651300,0,0
2020-06-03,52.56,53.76,52.42,53.34,33341800,0,0
2020-06-04,53.3,55.69,52.61,55.65,33083500,0,0
2020-06-05,61.57,62.47,58.34,58.86,44648500,0,0
2020-06-08,60.66,61.33,59.77,61.24,32587100,0,0
2020-06-09,59.0,60.2,57.65,59.5,30422900,0,0
2020-06-10,58.9,59.14,55.86,55.86,36743700,0,0
2020-06-11,51.67,53.52,48.2,48.39,62098600,0,0
2020-06-12,51.4,52.45,49.8,52.25,39022000,0,0
