Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,50.03,50.2,47.27,47.6,2340700,0,0
2020-05-14,46.65,47.36,45.76,47.3,2640600,0,0
2020-05-15,48.3,49.0,47.76,48.95,2548600,0,0
2020-05-18,50.07,52.45,50.07,52.21,2710200,0,0
2020-05-19,51.9,52.73,51.52,51.56,2086800,0,0
2020-05-20,52.02,53.76,51.04,52.95,2745900,0,0
2020-05-21,52.7,53.46,52.28,53.18,1410400,0,0
2020-05-22,53.05,53.7,52.64,53.59,1364400,0,0
2020-05-26,54.77,55.07,52.44,52.6,2524700,0,0
2020-05-27,52.76,53.75,51.69,53.75,1911400,0,0
2020-05-28,54.31,55.29,53.81,54.37,1656000,0,0
2020-05-29,54.5,55.03,53.72,54.69,4376800,0,0
2020-06-01,54.48,55.07,54.14,54.7,1247800,0,0
2020-06-02,54.52,55.99,54.01,55.77,2941900,0,0
2020-06-03,55.99,57.13,55.82,56.62,2163400,0,0
2020-06-04,56.17,57.08,55.82,56.49,2077600,0,0
2020-06-05,57.06,58.49,57.0,57.27,1856700,0,0
2020-06-08,57.06,59.46,56.9,59.31,2562200,0,0
2020-06-09,58.68,58.91,57.08,57.65,1458600,0,0
2020-06-10,57.92,58.03,55.38,55.47,2206700,0,0
2020-06-11,54.1,54.48,52.12,52.49,1888400,0,0
2020-06-12,54.0,54.4,51.5,52.89,1747700,0,0
