Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,105.14,105.29,102.55,104.48,5376100,0,0
2020-05-14,102.5,106.28,100.22,106.19,5542400,0,0
2020-05-15,105.18,107.99,104.28,107.92,6583100,0,0
2020-05-18,112.22,115.66,112.01,115.02,5604400,0,0
2020-05-19,114.95,115.44,112.01,112.08,3404900,0,0
2020-05-20,113.31,117.48,113.05,115.69,3735700,0,0
2020-05-21,114.95,115.68,113.82,114.06,2342300,0,0
2020-05-22,114.13,114.16,111.47,112.47,2735100,0,0
2020-05-26,115.98,118.56,115.98,117.41,4185100,0,0
2020-05-27,119.72,122.49,119.53,122.42,4462700,0,0
2020-05-28,124.75,124.83,120.28,120.74,3743700,0,0
2020-05-29,119.63,120.71,117.57,120.13,4278100,0,0
2020-06-01,119.86,121.2,117.61,120.5,2131300,0,0
2020-06-02,121.84,123.82,121.28,123.32,2977500,0,0
2020-06-03,125.45,127.35,125.01,127.09,3712600,0,0
2020-06-04,125.41,129.03,124.74,128.96,3076700,0,0
2020-06-05,137.85,139.37,133.39,135.12,5591900,0,0
2020-06-08,135.32,139.94,135.32,137.72,4139200,0,0
2020-06-09,135.02,135.41,133.21,134.19,3819600,0,0
2020-06-10,133.72,135.38,130.56,132.44,4018700,0,0
2020-06-11,126.41,126.84,121.52,121.55,5969300,0,0
2020-06-12,124.4,125.17,119.35,123.15,4489000,0,0
