Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,36.7,36.86,34.2,34.84,4229500,0,0
2020-05-14,34.06,35.91,33.03,35.85,2629100,0,0
2020-05-15,35.59,36.44,35.12,35.99,1820500,0,0
2020-05-18,37.77,39.56,37.54,39.09,2455700,0,0
2020-05-19,38.98,39.1,37.95,37.97,2162200,0,0
2020-05-20,38.82,39.96,38.61,39.6,2634500,0,0
2020-05-21,39.42,40.84,39.42,40.75,2707700,0,0
2020-05-22,40.8,40.92,40.08,40.3,2598100,0,0
2020-05-26,42.36,44.73,42.36,43.94,3112000,0,0
2020-05-27,45.0,45.6,43.27,45.15,2178000,0,0
2020-05-28,45.72,45.98,43.97,44.12,2731500,0,0
2020-05-29,43.21,44.29,42.81,43.98,6324200,0,0
2020-06-01,43.81,44.59,43.59,44.14,1331300,0,0
2020-06-02,44.51,46.22,44.19,45.99,2309500,0,0
2020-06-03,47.47,50.2,47.04,49.5,3234400,0,0
2020-06-04,49.01,51.01,48.25,50.41,3064200,0,0
2020-06-05,53.57,55.63,53.43,54.02,3442600,0,0
2020-06-08,55.0,56.05,54.49,55.49,2342600,0,0
2020-06-09,53.48,54.14,52.51,53.33,2066700,0,0
2020-06-10,52.77,53.2,50.96,51.33,1993700,0,0
2020-06-11,48.5,48.62,46.19,46.31,2606900,0,0
2020-06-12,48.6,48.6,45.75,47.57,2133600,0,0
