Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,153.1,157.47,151.51,152.13,2143700,0.0,0
2020-05-14,151.71,151.76,148.49,150.99,1718500,0.0,0
2020-05-15,150.39,151.65,146.54,149.11,2593900,0.0,0
2020-05-18,152.19,156.36,151.92,155.32,2565900,0.0,0
2020-05-19,154.63,154.94,151.45,151.51,1349800,0.0,0
2020-05-20,152.46,153.13,150.32,151.31,1816900,0.0,0
2020-05-21,151.15,151.71,147.36,149.79,2254200,0.0,0
2020-05-22,150.51,155.8,148.92,155.12,1874000,0.0,0
2020-05-26,159.71,160.06,155.72,158.49,2657200,0.0,0
2020-05-27,158.74,161.95,157.0,161.94,1690800,0.0,0
2020-05-28,163.89,168.03,162.83,167.63,2437000,0.0,0
2020-05-29,166.96,171.35,165.41,170.97,3286300,0.0,0
2020-06-01,170.56,174.41,168.43,172.57,2907100,0.0,0
2020-06-02,173.71,174.74,170.96,173.35,3183300,0.0,0
2020-06-03,175.34,175.63,172.73,173.36,1917600,0.0,0
2020-06-04,172.33,173.08,164.97,166.49,1941800,0.0,0
2020-06-05,168.57,169.37,165.36,167.44,3265800,0.0,0
2020-06-08,166.84,171.98,166.84,171.64,1958300,0.0,0
2020-06-09,171.17,175.39,170.89,173.14,1717800,0.0,0
2020-06-10,173.02,174.53,170.5,172.89,1858300,0.0,0
2020-06-11,170.05,171.62,160.47,160.72,3072000,1.2,0
2020-06-12,164.79,165.7,162.5,164.37,1941300,0.0,0
