Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,13.0,13.01,11.89,12.26,57274000,0,0
2020-05-14,11.67,12.62,11.0,12.27,56189700,0,0
2020-05-15,12.13,13.1,11.95,12.78,36812800,0,0
2020-05-18,14.1,15.07,13.92,14.72,79983400,0,0
2020-05-19,14.61,14.83,13.63,14.11,51347100,0,0
2020-05-20,14.62,14.69,13.83,14.15,40132600,0,0
2020-05-21,13.9,15.13,13.9,14.6,50573100,0,0
2020-05-22,14.92,15.18,14.15,14.46,29208000,0,0
2020-05-26,15.94,16.52,15.82,16.28,59226200,0,0
2020-05-27,18.16,18.16,16.12,17.24,88455700,0,0
2020-05-28,17.34,17.4,15.74,15.93,60785600,0,0
2020-05-29,15.23,15.92,15.0,15.74,50358500,0,0
2020-06-01,15.98,17.08,15.87,16.8,42436400,0,0
2020-06-02,17.33,17.48,16.56,16.87,41632100,0,0
2020-06-03,16.71,17.65,16.57,17.25,53113200,0,0
2020-06-04,17.36,19.06,16.66,18.48,86050100,0,0
2020-06-05,22.3,22.94,21.06,21.51,113521100,0,0
2020-06-08,24.57,25.28,23.41,24.91,107262900,0,0
2020-06-09,23.88,23.9,21.93,23.04,72547400,0,0
2020-06-10,22.2,22.47,19.5,20.59,82883100,0,0
2020-06-11,17.29,18.99,16.75,17.44,79106600,0,0
2020-06-12,19.81,20.2,18.53,19.98,64999800,0,0
