Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,81.37,82.98,79.83,81.0,2768200,0,0
2020-05-14,80.51,81.9,79.68,81.85,2077700,0,0
2020-05-15,79.19,82.32,79.05,82.07,2549600,0,0
2020-05-18,82.15,84.06,81.34,83.37,2426300,0,0
2020-05-19,83.76,87.0,83.51,85.44,2214600,0,0
2020-05-20,86.92,88.55,86.86,88.09,2347500,0,0
2020-05-21,88.25,88.46,86.0,86.11,1510700,0,0
2020-05-22,86.1,86.65,85.22,86.05,1490300,0,0
2020-05-26,87.78,87.81,84.88,85.01,1703800,0,0
2020-05-27,84.5,85.24,81.95,85.2,1871500,0,0
2020-05-28,84.81,89.65,84.77,88.06,2392800,0,0
2020-05-29,88.23,91.58,87.92,91.29,2668200,0,0
2020-06-01,90.8,92.86,89.82,91.68,2119300,0,0
2020-06-02,91.5,92.39,90.55,92.38,1850700,0,0
2020-06-03,92.9,93.3,91.83,92.96,1717300,0,0
2020-06-04,92.23,93.01,90.85,91.27,1562500,0,0
2020-06-05,91.18,92.46,89.5,91.4,2280400,0,0
2020-06-08,91.0,92.39,89.04,92.13,2128900,0,0
2020-06-09,91.8,93.52,91.71,92.56,2075400,0,0
2020-06-10,93.33,94.18,92.5,93.19,1502300,0,0
2020-06-11,92.8,93.09,88.32,88.41,2063100,0,0
2020-06-12,90.06,91.45,87.94,89.46,1889400,0,0
