Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,100.64,102.41,96.16,97.67,958200,0.0,0
2020-05-14,94.94,99.48,93.42,99.35,1088100,0.0,0
2020-05-15,97.67,98.47,96.57,97.47,1288000,0.0,0
2020-05-18,102.12,106.81,101.14,106.14,1773200,0.0,0
2020-05-19,105.99,108.13,104.74,105.62,892100,0.0,0
2020-05-20,105.46,109.01,105.46,108.85,1008300,0.0,0
2020-05-21,108.44,109.96,107.01,107.21,754400,0.38,0
2020-05-22,106.23,106.7,105.41,105.74,624200,0.0,0
2020-05-26,108.56,110.52,107.97,108.01,940300,0.0,0
2020-05-27,109.61,110.38,107.11,110.34,821300,0.0,0
2020-05-28,110.0,111.66,108.39,109.65,766900,0.0,0
2020-05-29,110.42,111.5,108.34,110.91,1210500,0.0,0
2020-06-01,110.26,113.2,109.58,111.91,607100,0.0,0
2020-06-02,111.97,113.65,111.6,113.27,881800,0.0,0
2020-06-03,113.51,115.75,113.51,115.09,648200,0.0,0
2020-06-04,114.4,117.0,114.01,116.75,1101800,0.0,0
2020-06-05,119.34,126.0,119.32,125.34,2030900,0.0,0
2020-06-08,126.4,129.23,125.35,128.29,1658300,0.0,0
2020-06-09,126.57,127.14,124.29,124.41,1328300,0.0,0
2020-06-10,124.11,124.52,121.48,121.71,911200,0.0,0
2020-06-11,120.24,120.6,110.53,110.54,994700,0.0,0
2020-06-12,113.9,116.02,111.03,114.1,923900,0.0,0
