Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,77.15,77.22,73.16,73.87,674800,0,0
2020-05-14,72.23,76.17,69.69,76.13,1130800,0,0
2020-05-15,75.71,78.41,75.59,76.67,2725000,0,0
2020-05-18,79.85,85.16,79.85,84.31,1003500,0,0
2020-05-19,83.53,84.73,82.0,83.88,885500,0,0
2020-05-20,85.37,86.79,85.25,86.1,1154000,0,0
2020-05-21,85.6,86.77,84.12,86.12,947800,0,0
2020-05-22,85.99,86.23,84.24,85.48,847200,0,0
2020-05-26,88.56,91.49,88.43,91.37,902800,0,0
2020-05-27,93.54,96.02,92.81,94.1,1462700,0,0
2020-05-28,95.38,95.38,91.7,92.34,851300,0,0
2020-05-29,90.9,90.9,88.09,89.91,2508900,0,0
2020-06-01,90.37,90.82,88.91,89.34,1037900,0,0
2020-06-02,89.38,92.71,89.38,92.63,1010600,0,0
2020-06-03,94.23,96.75,93.95,95.83,609500,0,0
2020-06-04,94.95,96.4,93.46,96.39,692200,0,0
2020-06-05,101.01,102.11,97.3,97.72,1088200,0,0
2020-06-08,97.61,99.06,97.22,98.73,750700,0,0
2020-06-09,97.4,97.75,95.29,97.0,678800,0,0
2020-06-10,97.09,97.84,94.43,94.57,831000,0,0
2020-06-11,89.81,90.9,85.03,85.56,994100,0,0
2020-06-12,89.59,90.5,85.82,88.52,751000,0,0
