Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,25.7,26.01,24.1,24.29,2611600,0.0,0
2020-05-14,23.71,24.65,23.05,24.63,5888300,0.3,0
2020-05-15,24.42,24.83,24.13,24.82,3761800,0.0,0
2020-05-18,26.09,26.95,25.96,26.39,4787200,0.0,0
2020-05-19,26.57,27.84,25.82,27.19,3498300,0.0,0
2020-05-20,27.5,27.97,27.26,27.51,2607400,0.0,0
2020-05-21,27.5,27.86,27.31,27.7,2005800,0.0,0
2020-05-22,27.65,27.78,27.27,27.59,1487200,0.0,0
2020-05-26,28.25,29.48,28.25,29.16,2787200,0.0,0
2020-05-27,30.05,30.36,29.53,29.97,1832400,0.0,0
2020-05-28,30.39,30.43,29.09,29.24,1817400,0.0,0
2020-05-29,28.91,29.77,28.68,29.37,2673000,0.0,0
2020-06-01,29.25,29.96,28.93,29.59,1628100,0.0,0
2020-06-02,29.76,31.12,29.76,30.91,3898000,0.0,0
2020-06-03,31.41,32.32,31.4,31.91,2322300,0.0,0
2020-06-04,31.66,32.07,31.02,31.75,1781200,0.0,0
2020-06-05,33.16,33.53,32.55,32.72,2757800,0.0,0
2020-06-08,33.4,34.05,32.73,32.98,2610200,0.0,0
2020-06-09,32.16,32.4,31.51,31.93,2126200,0.0,0
2020-06-10,31.87,31.93,30.85,30.88,2391200,0.0,0
2020-06-11,29.25,29.71,27.69,28.14,2749600,0.0,0
2020-06-12,29.47,29.73,28.43,29.4,1649900,0.0,0
