Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,73.03,73.76,72.84,73.21,1454300,0.0,0
2020-05-14,73.3,73.95,71.1,72.8,1862300,0.24,0
2020-05-15,72.95,74.38,72.68,73.6,3582100,0.0,0
2020-05-18,73.75,73.96,72.42,73.09,2079800,0.0,0
2020-05-19,72.74,72.92,72.04,72.11,1397700,0.0,0
2020-05-20,72.31,72.54,71.62,72.15,1161300,0.0,0
2020-05-21,72.14,72.14,70.79,70.97,1050600,0.0,0
2020-05-22,70.95,72.29,70.61,71.93,941700,0.0,0
2020-05-26,72.2,72.2,70.07,70.3,1885400,0.0,0
2020-05-27,70.31,73.01,70.14,72.92,1788200,0.0,0
2020-05-28,73.87,74.7,73.55,74.04,1986600,0.0,0
2020-05-29,74.12,75.22,73.46,75.07,2025600,0.0,0
2020-06-01,74.99,76.0,74.62,75.3,1236000,0.0,0
2020-06-02,75.16,76.42,75.11,75.87,1448700,0.0,0
2020-06-03,76.0,76.14,75.1,75.14,1095000,0.0,0
2020-06-04,74.8,75.86,73.83,74.27,866800,0.0,0
2020-06-05,73.77,74.4,72.44,73.79,1906800,0.0,0
2020-06-08,72.88,74.89,72.76,74.75,1219800,0.0,0
2020-06-09,74.88,75.44,74.19,74.93,1076700,0.0,0
2020-06-10,75.16,76.3,74.7,75.5,1422600,0.0,0
2020-06-11,75.5,76.98,74.4,74.42,1549900,0.0,0
2020-06-12,74.58,75.08,72.82,73.08,1173100,0.0,0
