Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,72.54,72.91,70.58,71.35,2241200,0.0,0
2020-05-14,70.8,71.83,69.99,71.74,2162200,0.0,0
2020-05-15,72.21,73.05,71.54,72.06,3587900,0.0,0
2020-05-18,73.67,77.77,73.46,77.37,3280500,0.0,0
2020-05-19,77.35,77.8,75.23,75.5,1821800,0.0,0
2020-05-20,76.42,79.37,76.12,77.15,2144100,0.0,0
2020-05-21,76.76,77.82,76.53,77.43,1403100,0.0,0
2020-05-22,77.27,77.71,76.9,77.39,1098300,0.0,0
2020-05-26,78.39,79.29,77.65,77.77,1491100,0.0,0
2020-05-27,77.83,79.76,77.62,79.67,2337300,0.0,0
2020-05-28,79.73,81.35,79.73,80.37,2001700,0.0,0
2020-05-29,80.43,82.38,79.08,80.64,7262200,0.0,0
2020-06-01,80.41,80.63,79.56,80.17,1115400,0.0,0
2020-06-02,80.89,81.82,78.46,81.68,1291200,0.0,0
2020-06-03,82.49,83.55,82.0,83.3,1706700,0.0,0
2020-06-04,82.88,83.33,81.72,82.3,1540200,0.51,0
2020-06-05,83.12,84.66,82.78,83.06,1512700,0.0,0
2020-06-08,82.92,85.24,82.92,85.1,1418700,0.0,0
2020-06-09,84.87,84.87,82.94,83.09,1238400,0.0,0
2020-06-10,83.5,83.62,82.06,82.2,1517300,0.0,0
2020-06-11,81.5,81.87,78.03,78.77,1678000,0.0,0
2020-06-12,80.31,80.58,76.94,77.73,1323100,0.0,0
