Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,500.09,503.0,487.67,498.3,1078900,0,0
2020-05-14,499.09,502.06,489.27,497.44,831200,0,0
2020-05-15,491.36,503.47,485.01,503.39,905300,0,0
2020-05-18,511.15,524.66,505.8,517.79,1194900,0,0
2020-05-19,512.93,523.29,512.4,520.44,1082900,0,0
2020-05-20,519.35,525.77,510.9,512.8,1089500,0,0
2020-05-21,511.25,519.64,510.0,516.96,788200,0,0
2020-05-22,513.71,519.1,509.24,512.9,714400,0,0
2020-05-26,515.0,517.69,508.2,509.85,977600,0,0
2020-05-27,512.76,528.06,511.01,525.11,1479400,0,0
2020-05-28,528.54,539.88,528.54,534.67,1577400,0,0
2020-05-29,535.5,545.63,531.08,544.0,1606100,0,0
2020-06-01,545.04,548.04,540.02,541.3,849200,0,0
2020-06-02,541.69,549.0,540.83,545.22,960600,0,0
2020-06-03,545.47,548.81,542.26,547.3,674500,0,0
2020-06-04,544.47,548.91,534.66,540.03,1109500,0,0
2020-06-05,538.65,546.07,528.02,530.72,1394800,0,0
2020-06-08,524.0,540.4,522.08,540.36,1225300,0,0
2020-06-09,541.09,542.36,529.43,531.57,892900,0,0
2020-06-10,536.35,536.35,528.5,533.81,951800,0,0
2020-06-11,532.71,535.67,517.15,517.17,1485400,0,0
2020-06-12,524.35,530.72,515.29,522.57,1043100,0,0
