Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,69.01,69.55,67.84,68.3,3864200,0,0
2020-05-14,68.11,68.29,65.54,67.06,4999800,0,0
2020-05-15,66.77,68.97,66.4,68.95,7939700,0,0
2020-05-18,69.92,70.75,69.18,70.22,5017700,0,0
2020-05-19,69.82,70.38,69.14,69.25,5304100,0,0
2020-05-20,69.67,70.59,69.46,70.47,3406100,0,0
2020-05-21,71.01,71.01,69.76,70.26,5171900,0,0
2020-05-22,70.09,70.93,70.02,70.75,3427400,0,0
2020-05-26,71.34,71.48,69.1,69.43,6475600,0,0
2020-05-27,69.68,70.66,69.44,70.59,3811400,0,0
2020-05-28,71.6,72.47,71.2,72.09,4685600,0,0
2020-05-29,72.14,72.58,71.56,72.33,4317000,0,0
2020-06-01,72.27,72.99,71.96,72.73,2640600,0,0
2020-06-02,72.65,73.11,71.63,72.44,3751300,0,0
2020-06-03,72.9,72.9,71.61,71.65,4535700,0,0
2020-06-04,71.42,72.35,70.59,70.75,4985800,0,0
2020-06-05,71.17,72.58,70.29,72.4,5976200,0,0
2020-06-08,71.94,73.54,71.76,73.51,5033300,0,0
2020-06-09,73.29,73.56,72.14,73.28,4608100,0,0
2020-06-10,73.74,74.9,73.43,74.36,5726600,0,0
2020-06-11,73.85,75.0,72.82,73.1,5547300,0,0
2020-06-12,73.59,73.76,72.36,72.79,4357600,0,0
