Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,29.65,29.69,28.0,28.7,2493700,0.0,0
2020-05-14,27.83,31.22,27.34,30.99,3121200,0.0,0
2020-05-15,30.1,30.86,29.35,29.5,2117200,0.0,0
2020-05-18,31.83,33.5,31.55,33.04,3499500,0.0,0
2020-05-19,32.55,33.05,31.48,31.56,1827700,0.0,0
2020-05-20,32.4,33.2,32.22,32.65,2019600,0.0,0
2020-05-21,32.46,32.99,31.95,32.42,2017200,0.0,0
2020-05-22,32.49,32.96,31.34,32.06,1340700,0.0,0
2020-05-26,34.15,36.66,34.05,36.03,2351600,0.0,0
2020-05-27,38.81,39.52,36.78,38.72,2984400,0.0,0
2020-05-28,39.23,39.23,36.53,36.9,2493500,0.0,0
2020-05-29,35.78,36.65,34.97,35.69,3023700,0.0,0
2020-06-01,36.12,37.61,35.73,36.9,1419300,0.0,0
2020-06-02,37.63,38.54,36.78,37.06,1461000,0.0,0
2020-06-03,38.57,40.1,38.08,39.32,2361700,0.0,0
2020-06-04,40.09,42.13,39.0,42.13,2570300,0.0,0
2020-06-05,46.34,48.12,44.28,44.7,2957000,0.0,0
2020-06-08,46.29,47.32,44.94,45.93,3163200,0.0,0
2020-06-09,44.52,45.59,43.76,44.89,1901400,0.0,0
2020-06-10,44.37,44.59,41.03,41.05,3009700,0.0,0
2020-06-11,37.53,39.09,36.82,37.02,2255600,0.0,0
2020-06-12,39.6,39.99,37.1,39.14,1848300,0.68,0
