Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,66.28,66.41,63.84,64.69,3638000,0,0
2020-05-14,64.09,66.58,63.87,65.84,2868900,0,0
2020-05-15,65.5,69.0,65.5,68.7,3614900,0,0
2020-05-18,69.5,70.62,67.67,67.74,3240400,0,0
2020-05-19,67.38,68.45,66.87,66.91,2370000,0,0
2020-05-20,67.5,67.6,64.98,65.32,4129300,0,0
2020-05-21,64.75,65.8,64.15,65.65,3253700,0,0
2020-05-22,66.22,66.27,64.69,64.84,2661000,0,0
2020-05-26,66.05,66.09,64.09,64.49,4113400,0,0
2020-05-27,65.13,65.74,62.37,65.69,3246900,0,0
2020-05-28,66.39,67.74,65.61,66.9,3041500,0,0
2020-05-29,67.18,67.84,65.1,66.25,5282500,0,0
2020-06-01,66.04,66.33,64.73,65.7,2742700,0,0
2020-06-02,65.61,66.4,64.57,66.27,2965700,0,0
2020-06-03,67.09,67.23,65.2,65.36,3044600,0,0
2020-06-04,64.81,65.57,63.34,64.39,4051900,0,0
2020-06-05,65.26,65.8,64.43,65.11,4518400,0,0
2020-06-08,64.36,67.25,64.2,67.18,4715400,0,0
2020-06-09,67.13,67.26,65.45,65.67,2887900,0,0
2020-06-10,65.85,66.09,64.02,64.41,3862300,0,0
2020-06-11,63.84,63.99,59.65,60.26,4133600,0,0
2020-06-12,64.24,64.29,60.4,61.94,6169100,0,0
