Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,17.47,17.51,16.48,16.75,8421600,0.0,0
2020-05-14,16.51,17.18,16.26,17.13,14667600,0.0,0
2020-05-15,16.96,17.08,16.41,16.65,13774200,0.0,0
2020-05-18,17.49,17.74,17.25,17.34,12625800,0.0,0
2020-05-19,17.2,17.26,16.74,16.89,7583300,0.0,0
2020-05-20,17.12,17.3,16.85,16.92,8979000,0.15,0
2020-05-21,16.94,17.15,16.7,16.76,6678300,0.0,0
2020-05-22,16.78,16.97,16.72,16.92,6535300,0.0,0
2020-05-26,17.54,17.83,17.41,17.49,9083700,0.0,0
2020-05-27,18.02,18.13,17.43,17.5,8866200,0.0,0
2020-05-28,17.83,18.12,17.54,18.02,8638900,0.0,0
2020-05-29,17.88,18.0,17.36,17.78,12805800,0.0,0
2020-06-01,17.78,18.25,17.71,18.05,7148700,0.0,0
2020-06-02,18.03,18.27,17.93,18.1,10456300,0.0,0
2020-06-03,18.37,18.68,18.33,18.46,9318100,0.0,0
2020-06-04,18.36,18.38,17.83,18.05,8684900,0.0,0
2020-06-05,18.58,18.98,18.21,18.25,14693600,0.0,0
2020-06-08,18.4,19.33,18.38,19.09,16830700,0.0,0
2020-06-09,18.75,18.82,18.25,18.63,14122400,0.0,0
2020-06-10,18.72,18.85,18.2,18.39,10804900,0.0,0
2020-06-11,17.59,17.93,17.38,17.77,14137600,0.0,0
2020-06-12,18.36,18.6,17.73,18.0,10230400,0.0,0
