Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,57.02,57.39,53.63,53.97,5644400,0,0
2020-05-14,52.6,59.16,51.91,59.16,8392800,0,0
2020-05-15,58.13,59.45,57.25,58.03,3359600,0,0
2020-05-18,62.41,63.98,61.52,63.4,4733500,0,0
2020-05-19,62.52,63.01,60.17,60.25,4657500,0,0
2020-05-20,61.75,62.85,60.91,61.48,4952200,0,0
2020-05-21,61.39,62.04,60.34,60.92,2788200,0,0
2020-05-22,60.82,61.36,59.62,60.21,3645800,0,0
2020-05-26,64.25,66.75,64.03,65.8,5171900,0,0
2020-05-27,70.27,71.37,67.82,70.88,5951500,0,0
2020-05-28,71.92,72.04,67.88,68.54,6160400,0,0
2020-05-29,67.0,69.0,65.82,68.04,9177100,0,0
2020-06-01,68.59,70.28,67.88,68.99,4604000,0,0
2020-06-02,70.21,72.48,69.34,70.9,5559600,0,0
2020-06-03,72.97,75.17,72.36,74.34,5698000,0,0
2020-06-04,73.97,77.16,72.72,77.15,4369200,0,0
2020-06-05,84.87,85.22,78.3,79.02,7549500,0,0
2020-06-08,81.23,82.15,78.94,80.0,7022200,0,0
2020-06-09,77.01,79.34,76.45,78.47,3873000,0,0
2020-06-10,77.83,78.38,71.8,71.8,7791100,0,0
2020-06-11,66.71,70.16,66.02,66.12,6429500,0,0
2020-06-12,70.26,70.7,67.08,70.63,5170100,0,0
