Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,18.85,19.03,18.46,18.77,4900000,0.1,0
2020-05-14,18.52,18.99,18.2,18.65,5442900,0.0,0
2020-05-15,18.6,18.74,18.2,18.25,4014400,0.0,0
2020-05-18,18.85,19.12,18.25,18.47,5538300,0.0,0
2020-05-19,18.54,18.77,18.21,18.21,4161200,0.0,0
2020-05-20,18.39,19.0,18.18,18.91,6207000,0.0,0
2020-05-21,18.9,19.06,18.47,18.63,7726500,0.0,0
2020-05-22,18.61,18.97,18.25,18.9,3964100,0.0,0
2020-05-26,19.07,19.74,18.88,19.47,5424600,0.0,0
2020-05-27,19.68,20.42,19.64,20.33,6279600,0.0,0
2020-05-28,20.22,20.84,19.21,19.32,5806800,0.0,0
2020-05-29,19.29,20.13,19.16,19.84,8281100,0.0,0
2020-06-01,19.25,19.95,18.86,19.83,6879100,0.0,0
2020-06-02,19.96,20.21,19.66,20.21,5750700,0.0,0
2020-06-03,20.58,20.6,20.13,20.35,4471200,0.0,0
2020-06-04,20.22,20.44,19.68,19.98,4407900,0.0,0
2020-06-05,20.23,20.5,20.03,20.42,7256400,0.0,0
2020-06-08,20.28,22.38,20.28,22.37,7983000,0.0,0
2020-06-09,22.0,22.67,21.12,21.93,9069800,0.0,0
2020-06-10,21.79,22.06,20.22,20.24,6961000,0.0,0
2020-06-11,19.77,20.83,19.52,20.14,6608600,0.0,0
2020-06-12,20.2,20.52,19.59,20.07,5436900,0.0,0
