Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,304.84,306.4,300.12,302.14,2954900,0,0
2020-05-14,301.01,302.88,294.54,299.74,3718900,0,0
2020-05-15,299.07,299.83,295.86,299.21,4577200,0,0
2020-05-18,301.72,303.19,299.92,302.76,3989600,0,0
2020-05-19,304.62,309.02,303.15,304.63,3523000,0,0
2020-05-20,306.77,307.92,303.2,304.91,2827000,0,0
2020-05-21,304.79,305.04,301.25,301.97,2492100,0,0
2020-05-22,302.01,303.94,300.83,302.43,2366400,0,0
2020-05-26,306.01,306.9,303.53,304.8,3234600,0,0
2020-05-27,304.56,306.31,299.47,306.01,2980200,0,0
2020-05-28,307.25,311.0,306.9,309.56,4301900,0,0
2020-05-29,304.2,308.88,302.35,308.47,4986800,0,0
2020-06-01,307.9,309.74,306.46,308.29,2293700,0,0
2020-06-02,307.95,309.02,304.72,307.09,2528900,0,0
2020-06-03,307.5,308.2,305.92,306.64,2165900,0,0
2020-06-04,310.85,315.35,309.09,310.75,4553900,0,0
2020-06-05,313.13,313.63,307.29,312.04,4375600,0,0
2020-06-08,310.66,311.29,306.46,307.19,3764500,0,0
2020-06-09,307.5,308.6,305.17,305.55,3155800,0,0
2020-06-10,306.48,308.63,305.65,307.33,2713700,0,0
2020-06-11,306.99,309.2,300.64,300.83,3443000,0,0
2020-06-12,302.67,305.15,296.25,298.7,4019100,0,0
