Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,4.08,4.14,3.6,3.66,27807900,0,0
2020-05-14,3.72,3.72,3.27,3.36,21991600,0,0
2020-05-15,3.36,3.42,3.22,3.29,19394400,0,0
2020-05-18,3.5,3.57,3.34,3.42,20719000,0,0
2020-05-19,3.47,3.47,3.24,3.25,19093100,0,0
2020-05-20,3.26,3.37,3.16,3.28,21103700,0,0
2020-05-21,3.32,3.47,3.25,3.33,21849000,0,0
2020-05-22,3.49,3.88,3.46,3.75,31253500,0,0
2020-05-26,4.13,4.38,4.0,4.28,27981200,0,0
2020-05-27,4.45,4.66,4.2,4.51,29151000,0,0
2020-05-28,4.47,4.49,4.12,4.19,30826300,0,0
2020-05-29,4.01,4.06,3.6,3.63,60534400,0,0
2020-06-01,3.99,4.44,3.86,4.39,55033100,0,0
2020-06-02,4.5,4.63,4.18,4.19,32397400,0,0
2020-06-03,4.48,4.83,4.31,4.75,48809200,0,0
2020-06-04,5.04,5.26,4.68,4.84,45210400,0,0
2020-06-05,5.19,5.2,4.94,5.08,32694100,0,0
2020-06-08,5.42,6.27,5.27,6.21,42058300,0,0
2020-06-09,5.99,6.01,5.36,5.64,29785100,0,0
2020-06-10,5.69,5.7,5.04,5.16,28322600,0,0
2020-06-11,4.58,4.97,4.41,4.58,21340700,0,0
2020-06-12,4.95,5.09,4.65,4.87,17187300,0,0
